场景,风电场景,光伏场景,日氨产量(t/day),总负荷电量(MWh),常规负荷电量(MWh),生产负荷电量(MWh),碱性电解槽用电量(MWh),PEM电解槽用电量(MWh),合成氨装置用电量(MWh),碱性电解槽运行时数(h),PEM电解槽运行时数(h),合成氨装置运行时数(h),碱性电解槽利用率(%),PEM电解槽利用率(%),合成氨装置利用率(%),PEM制氢占比(%),高电价时段生产用电量(MWh),风电电量(MWh),光伏电量(MWh),新能源发电量(MWh),购电量(MWh),售电量(MWh),新能源自发自用比例(%),新能源供电占比(%),上网电量比例(%),新能源自发自用比例达标,新能源供电占比达标,上网电量比例达标,达标指标数,达标状态,风电发电成本(¥/day),光伏发电成本(¥/day),购电成本(¥/day),售电收入(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),日净成本(¥/day),净吨氨成本(¥/t),求解器,一级最优变动净成本(¥/day),二级最小购电量(MWh),三级最小售电量(MWh)
风电1-光伏1,1,1,72.0,1056.72,60.72,996.0,480.0,480.0,36.0,24,24,24,100.0,100.0,100.0,53.333333333333336,332.0,252.324,509.44000000000005,761.7639999999999,430.28,135.324,64.4708859961878,59.28155045802102,17.764557001906105,True,True,True,3,全部达标,37848.6,61132.8,219763.86000000002,51138.93960000001,48000.0,72000.0,72.0,3287.671232876712,390965.9916328767,5430.083217123287,SciPy HiGHS MILP,288696.9204,430.28,135.324
风电1-光伏1,1,1,63.0,929.0417032800234,60.72,868.3217032800233,394.57362624018964,442.2480770398337,31.499999999999986,21,24,24,82.20283880003952,92.13501604996534,87.49999999999996,56.158485973312246,230.638000121427,252.324,509.44000000000005,761.7639999999999,302.60170328002334,135.324,64.47088599618782,67.42862002731688,17.764557001906105,True,True,True,3,全部达标,37848.6,61132.8,122446.47259596443,51138.93960000001,39457.36262401896,66337.21155597505,62.99999999999997,3287.671232876712,279434.1784088351,4435.463149346589,SciPy HiGHS MILP,177165.10715824176,302.6017032800234,135.324
风电1-光伏1,1,1,54.0,802.7559890109887,60.72,742.0359890109889,320.28791208791193,394.74807692307695,26.999999999999993,17,20,20,66.72664835164832,82.2391826923077,74.99999999999997,58.481196581196606,202.138,252.324,509.44000000000005,761.7639999999999,233.21019971830356,192.21821070731468,49.53339598423797,70.94880599948894,25.233302007881008,False,True,False,1,部分达标,37848.6,61132.8,79851.17238354712,72639.26182629423,32028.791208791194,59212.211538461546,53.999999999999986,3287.671232876712,200775.98453738232,3718.0737877293022,SciPy HiGHS MILP,98506.91329450546,233.21019971830336,192.21821070731468
风电1-光伏1,1,1,45.0,669.6845604395603,60.72,608.9645604395603,191.71648351648338,394.74807692307695,22.499999999999993,10,20,20,39.94093406593404,82.2391826923077,62.49999999999998,70.17743589743591,119.33800000000001,252.324,509.44000000000005,761.7639999999999,233.21019971831177,325.28963927875145,14.595691243284941,65.17611223331178,42.702154378357534,False,True,False,1,部分达标,37848.6,61132.8,79851.17238354994,122926.95468344018,19171.64835164834,59212.211538461546,44.999999999999986,3287.671232876712,137622.14882309636,3058.269973846586,SciPy HiGHS MILP,35353.07758021967,233.21019971831166,325.28963927875145
风电1-光伏1,1,1,36.0,548.7199999397741,60.72,487.99999993977417,159.99999951819328,310.00000042158086,18.0,8,16,16,33.33333323295694,64.58333342116268,50.0,68.88888898257352,104.0,252.324,509.44000000000005,761.7639999999999,233.21019950133007,446.25419956155594,-17.163373318128965,57.49923466851462,58.58168665906449,False,True,False,1,部分达标,37848.6,61132.8,79851.1723092554,168639.462014312,15999.999951819327,46500.00006323713,36.0,3287.671232876712,76016.78154287656,2111.5772650799045,SciPy HiGHS MILP,-26252.289700000078,233.2101995013291,446.25419956155594
风电1-光伏2,1,2,72.0,1056.72,60.72,996.0,480.0,480.0,36.0,24,24,24,100.0,100.0,100.0,53.333333333333336,332.0,252.324,250.88,503.204,560.9662000000001,7.450200000000002,97.03889476236277,46.9143954879249,1.4805526188186109,True,True,True,3,全部达标,37848.6,30105.6,301293.82788,2815.430580000001,48000.0,72000.0,72.0,3287.671232876712,489792.26853287674,6802.670396289955,SciPy HiGHS MILP,418550.3973,560.9662,7.450200000000002
风电1-光伏2,1,2,63.0,929.581594174449,60.72,868.861594174449,398.8927533955948,438.4688407788542,31.49999999999999,21,24,24,83.10265695741559,91.34767516226128,87.49999999999997,55.678582956045,204.86159441000842,252.324,250.88,503.204,433.8277941744491,7.4502000000000095,97.03889476236277,53.33085369878406,1.4805526188186122,True,True,True,3,全部达标,37848.6,30105.6,199277.971091512,2815.430580000004,39889.27533955948,65770.32611682813,62.99999999999998,3287.671232876712,373427.01320077636,5927.412907948831,SciPy HiGHS MILP,302185.1419376811,433.8277941744487,7.450200000000002
风电1-光伏2,1,2,54.0,797.1131318485633,60.72,736.3931318485634,275.14505478850947,434.2480770600539,26.999999999999986,18,24,24,57.321886414272804,90.46834938751122,74.99999999999996,64.33304845334135,200.47200014245604,252.324,250.88,503.204,301.35933184856333,7.450200000000017,97.03889476236277,62.19365610629334,1.4805526188186136,True,True,True,3,全部达标,37848.6,30105.6,117960.6561925963,2815.4305800000066,27514.505478850948,65137.21155900809,53.99999999999997,3287.671232876712,279092.81388333207,5168.385442283928,SciPy HiGHS MILP,207850.9426296703,301.35933184856316,7.450200000000002
风电1-光伏2,1,2,45.0,671.920247252747,60.72,611.200247252747,209.60197802197789,379.09826923076923,22.499999999999993,12,20,20,43.667078754578725,78.97880608974359,62.49999999999998,67.39524786324787,151.18584762697012,252.324,250.88,503.204,247.290199625777,78.5739523730299,68.77053744682874,63.19649532264249,15.61473127658562,True,True,True,3,全部达标,37848.6,30105.6,84672.16435186603,29693.096601768,20960.19780219779,56864.74038461538,44.999999999999986,3287.671232876712,204090.87716978788,4535.352825995286,SciPy HiGHS MILP,132849.00592362633,247.29019962577678,78.57395237302991
风电1-光伏2,1,2,36.0,548.719999939773,60.72,487.999999939773,159.9999995181845,310.0000004215885,17.999999999999993,8,16,16,33.333333232955106,64.58333342116427,49.99999999999998,68.88888898257522,80.75580043845203,252.324,250.88,503.204,247.29019950132096,201.774199561548,19.804214767152878,54.93326295224098,40.09789261642355,False,True,False,1,部分达标,37848.6,30105.6,84672.16430925229,76250.47001430899,15999.999951818449,46500.00006323827,35.999999999999986,3287.671232876712,142199.56554287675,3949.9879317465766,SciPy HiGHS MILP,70957.69429999997,247.29019950132243,201.774199561548
