场景,风电场景,光伏场景,日氨产量(t/day),时段,时段序号(h),常规负荷功率(MW),风电功率(MW),光伏功率(MW),新能源总功率(MW),碱性电解槽功率(MW),PEM电解槽功率(MW),合成氨装置功率(MW),总负荷功率(MW),购电功率(MW),售电功率(MW),碱性电解槽状态,PEM电解槽状态,合成氨装置状态,电网购电模式,碱性制氢量(kg/h),PEM制氢量(kg/h),合成氨产量(kg/h),购电电价(¥/kWh),售电电价(¥/kWh)
风电1-光伏1,1,1,72.0,0:00-1:00,1,1.3698000000000001,9.776,0.0,9.776,20.0,20.0,1.5,42.8698,33.0938,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,72.0,1:00-2:00,2,1.0997999999999999,10.904,0.0,10.904,20.0,20.0,1.5,42.5998,31.695800000000002,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,72.0,2:00-3:00,3,0.7998000000000001,15.152000000000001,0.0,15.152000000000001,20.0,20.0,1.5,42.299800000000005,27.147800000000004,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,72.0,3:00-4:00,4,0.99,13.312,0.0,13.312,20.0,20.0,1.5,42.489999999999995,29.177999999999997,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,72.0,4:00-5:00,5,1.1802000000000001,15.072000000000001,0.0,15.072000000000001,20.0,20.0,1.5,42.6802,27.608199999999997,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,72.0,5:00-6:00,6,1.6301999999999999,18.724,0.0,18.724,20.0,20.0,1.5,43.1302,24.406200000000002,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,72.0,6:00-7:00,7,2.5002,9.628,14.08,23.708,20.0,20.0,1.5,44.0002,20.2922,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,72.0,7:00-8:00,8,3.3701999999999996,22.804000000000002,25.6,48.404,20.0,20.0,1.5,44.8702,0.0,3.5338000000000065,1,1,1,0,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,72.0,8:00-9:00,9,4.0098,17.852,37.12,54.971999999999994,20.0,20.0,1.5,45.5098,0.0,9.462199999999996,1,1,1,0,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,72.0,9:00-10:00,10,4.199999999999999,14.328000000000001,46.08,60.408,20.0,20.0,1.5,45.7,0.0,14.707999999999998,1,1,1,0,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,72.0,10:00-11:00,11,4.1202,11.904,52.48,64.384,20.0,20.0,1.5,45.6202,0.0,18.763800000000003,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,72.0,11:00-12:00,12,3.9000000000000004,7.736,55.04,62.775999999999996,20.0,20.0,1.5,45.4,0.0,17.375999999999998,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,72.0,12:00-13:00,13,3.2598000000000003,8.556000000000001,56.32,64.876,20.0,20.0,1.5,44.7598,0.0,20.116200000000006,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,72.0,13:00-14:00,14,2.6898,14.52,56.32,70.84,20.0,20.0,1.5,44.1898,0.0,26.650200000000005,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,72.0,14:00-15:00,15,3.63,6.707999999999999,52.48,59.187999999999995,20.0,20.0,1.5,45.129999999999995,0.0,14.058,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,72.0,15:00-16:00,16,3.8202000000000003,11.175999999999998,44.8,55.976,20.0,20.0,1.5,45.3202,0.0,10.6558,1,1,1,0,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,72.0,16:00-17:00,17,3.75,10.107999999999999,33.28,43.388,20.0,20.0,1.5,45.25,1.8620000000000019,0.0,1,1,1,1,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,72.0,17:00-18:00,18,3.1398,6.3839999999999995,24.32,30.704,20.0,20.0,1.5,44.6398,13.9358,0.0,1,1,1,1,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,72.0,18:00-19:00,19,2.61,6.428000000000001,11.52,17.948,20.0,20.0,1.5,44.11,26.162,0.0,1,1,1,1,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,72.0,19:00-20:00,20,2.1198,5.736,0.0,5.736,20.0,20.0,1.5,43.6198,37.8838,0.0,1,1,1,1,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,72.0,20:00-21:00,21,1.8599999999999999,3.752,0.0,3.752,20.0,20.0,1.5,43.36,39.608,0.0,1,1,1,1,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,72.0,21:00-22:00,22,1.6301999999999999,3.6919999999999997,0.0,3.6919999999999997,20.0,20.0,1.5,43.1302,39.4382,0.0,1,1,1,1,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,72.0,22:00-23:00,23,1.56,4.88,0.0,4.88,20.0,20.0,1.5,43.06,38.18,0.0,1,1,1,1,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,72.0,23:00-24:00,24,1.4802,3.1919999999999997,0.0,3.1919999999999997,20.0,20.0,1.5,42.980199999999996,39.788199999999996,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,63.0,0:00-1:00,1,1.3698000000000001,9.776,0.0,9.776,20.0,20.0,1.5,42.8698,33.0938,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,63.0,1:00-2:00,2,1.0997999999999999,10.904,0.0,10.904,20.000000000000007,20.0,1.5000000000000002,42.5998,31.695800000000002,0.0,1,1,1,1,280.0000000000001,320.0,3000.0000000000005,0.3424,0.3779
风电1-光伏1,1,1,63.0,2:00-3:00,3,0.7998000000000001,15.152000000000001,0.0,15.152000000000001,20.0,20.0,1.5,42.299800000000005,27.147800000000004,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
