场景,风电场景,光伏场景,新能源总发电量(MWh),高电价时段新能源电量(MWh),高电价时段新能源占比(%),原始缺电面积(MWh),原始余电面积(MWh)
风电1-光伏1,1,1,761.7639999999999,349.5,45.88035139492022,0.0,701.044
风电1-光伏2,1,2,503.204,229.82,45.67133806567515,0.0,442.48400000000004
风电1-光伏3,1,3,337.44399999999996,125.5,37.19135619539835,0.0,276.72400000000005
风电1-光伏4,1,4,272.804,84.54,30.989281682086776,0.0,212.084
风电2-光伏1,2,1,658.904,326.0,49.47609970496461,0.13819999999999988,598.3222
风电2-光伏2,2,2,400.34400000000005,206.32,51.53567931578842,0.13819999999999988,339.7622
风电2-光伏3,2,3,234.584,101.99999999999999,43.481226341097425,0.13819999999999988,174.0022
风电2-光伏4,2,4,169.94400000000002,61.040000000000006,35.91771407051735,0.13819999999999988,109.3622
风电3-光伏1,3,1,780.8399999999999,361.20000000000005,46.25787613339482,0.0,720.1199999999999
风电3-光伏2,3,2,522.28,241.52000000000004,46.24339434785939,0.0,461.55999999999995
风电3-光伏3,3,3,356.52000000000004,137.2,38.48311455177829,0.0,295.79999999999995
风电3-光伏4,3,4,291.88,96.24000000000001,32.97245443332877,0.0,231.16000000000003
风电4-光伏1,4,1,876.924,371.28000000000003,42.33890280115495,0.0,816.204
风电4-光伏2,4,2,618.364,251.60000000000002,40.688009004405174,0.0,557.644
风电4-光伏3,4,3,452.60400000000004,147.28,32.54058735671801,0.0,391.884
风电4-光伏4,4,4,387.964,106.32,27.404604550937716,0.0,327.244
风电5-光伏1,5,1,819.4200000000001,377.224,46.0354885162676,0.0,758.7
风电5-光伏2,5,2,560.8599999999999,257.544,45.919480797346935,0.0,500.14
风电5-光伏3,5,3,395.1,153.224,38.78106808402935,0.0,334.38
风电5-光伏4,5,4,330.4599999999999,112.26399999999998,33.97203897597289,0.0,269.74
风电6-光伏1,6,1,715.76,341.23199999999997,47.67408069744048,0.0,655.04
风电6-光伏2,6,2,457.20000000000005,221.552,48.45844269466316,0.0,396.48
风电6-光伏3,6,3,291.44,117.232,40.22508921218776,0.0,230.72000000000003
风电6-光伏4,6,4,226.8,76.27199999999999,33.629629629629626,0.0,166.07999999999998
