日氨产量(t/day),场景特征,运行结果,Spearman描述性相关系数
72,新能源总发电量(MWh),购电量(MWh),-0.9991304347826087
72,新能源总发电量(MWh),售电量(MWh),0.8927289651972915
72,新能源总发电量(MWh),净吨氨成本(¥/t),-0.9973913043478261
72,新能源总发电量(MWh),新能源自发自用比例(%),-0.9452118047856353
72,新能源总发电量(MWh),新能源供电占比(%),0.9991304347826087
72,新能源总发电量(MWh),上网电量比例(%),0.8917580799714109
72,高电价时段新能源占比(%),购电量(MWh),-0.6260869565217392
72,高电价时段新能源占比(%),售电量(MWh),0.5679678571402018
72,高电价时段新能源占比(%),净吨氨成本(¥/t),-0.6669565217391304
72,高电价时段新能源占比(%),新能源自发自用比例(%),-0.6087953526879173
72,高电价时段新能源占比(%),新能源供电占比(%),0.6260869565217392
72,高电价时段新能源占比(%),上网电量比例(%),0.5699096275919632
72,原始缺电面积(MWh),购电量(MWh),0.25842331298791943
72,原始缺电面积(MWh),售电量(MWh),-0.15328383789346348
72,原始缺电面积(MWh),净吨氨成本(¥/t),0.2261203988644295
72,原始缺电面积(MWh),新能源自发自用比例(%),0.16293763397807054
72,原始缺电面积(MWh),新能源供电占比(%),-0.25842331298791943
72,原始缺电面积(MWh),上网电量比例(%),-0.13525044520011484
63,新能源总发电量(MWh),购电量(MWh),-0.9991304347826087
63,新能源总发电量(MWh),售电量(MWh),0.9250764154970511
63,新能源总发电量(MWh),净吨氨成本(¥/t),-0.9973913043478261
63,新能源总发电量(MWh),新能源自发自用比例(%),-0.8732871161384412
63,新能源总发电量(MWh),新能源供电占比(%),0.9991304347826087
63,新能源总发电量(MWh),上网电量比例(%),0.9241471574202083
63,高电价时段新能源占比(%),购电量(MWh),-0.6260869565217392
63,高电价时段新能源占比(%),售电量(MWh),0.726679816091104
63,高电价时段新能源占比(%),净吨氨成本(¥/t),-0.6669565217391304
63,高电价时段新能源占比(%),新能源自发自用比例(%),-0.6416610129069166
63,高电价时段新能源占比(%),新能源供电占比(%),0.6260869565217392
63,高电价时段新能源占比(%),上网电量比例(%),0.7285383322447896
63,原始缺电面积(MWh),购电量(MWh),0.25842331298791943
63,原始缺电面积(MWh),售电量(MWh),-0.06904081086607172
63,原始缺电面积(MWh),净吨氨成本(¥/t),0.2261203988644295
63,原始缺电面积(MWh),新能源自发自用比例(%),0.008102191939419526
63,原始缺电面积(MWh),新能源供电占比(%),-0.25842331298791943
63,原始缺电面积(MWh),上网电量比例(%),-0.05178060814955379
54,新能源总发电量(MWh),购电量(MWh),-0.9843478260869565
54,新能源总发电量(MWh),售电量(MWh),0.8658227854509717
54,新能源总发电量(MWh),净吨氨成本(¥/t),-0.9982608695652174
54,新能源总发电量(MWh),新能源自发自用比例(%),-0.8000119444879927
54,新能源总发电量(MWh),新能源供电占比(%),0.9843478260869565
54,新能源总发电量(MWh),上网电量比例(%),0.8331957170886252
