场景,日氨产量(t/day),最大功率平衡残差(MW),最大氢氨物料平衡残差(kg/h),日产量约束残差(MWh),半连续边界最大违反量(MW),购售电同时发生最大值(MW2),一级目标重算残差(¥/day),三级成本容差(¥/day)
风电1-光伏1,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电1-光伏1,63.0,0.0,2.842170943040401e-14,1.4210854715202004e-14,7.105427357601002e-15,0.0,0.0,1.7716665752232075e-05
风电1-光伏1,54.0,0.0,2.842170943040401e-14,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,1.0000178008340299e-05
风电1-光伏1,45.0,0.0,2.842170943040401e-14,7.105427357601002e-15,7.105427357601002e-15,0.0,2.1827872842550278e-11,9.99995245365426e-06
风电1-光伏1,36.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,2.546585164964199e-11,9.999945177696645e-06
风电1-光伏2,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电1-光伏2,63.0,0.0,1.4210854715202004e-14,1.0658141036401503e-14,7.105427357601002e-15,0.0,0.0,3.0218507163226604e-05
风电1-光伏2,54.0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,7.105427357601002e-15,0.0,5.820766091346741e-11,2.078499528579414e-05
风电1-光伏2,45.0,0.0,1.4210854715202004e-14,7.105427357601002e-15,7.105427357601002e-15,0.0,2.9103830456733704e-11,1.328487996943295e-05
风电1-光伏2,36.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,1.0000047041103244e-05
风电1-光伏3,72.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0
风电1-光伏3,63.0,7.105427357601002e-15,0.0,3.552713678800501e-15,7.105427357601002e-15,0.0,1.1641532182693481e-10,4.167715087532997e-05
风电1-光伏3,54.0,7.105427357601002e-15,5.684341886080802e-14,0.0,7.105427357601002e-15,0.0,0.0,3.0782248359173536e-05
风电1-光伏3,45.0,0.0,2.842170943040401e-14,3.552713678800501e-15,3.552713678800501e-15,0.0,5.820766091346741e-11,-5.820766091346741e-11
风电1-光伏3,36.0,0.0,5.684341886080802e-14,0.0,7.105427357601002e-15,0.0,0.0,1.3359851436689496e-05
风电1-光伏4,72.0,0.0,0.0,0.0,0.0,0.0,1.1641532182693481e-10,1.1641532182693481e-10
风电1-光伏4,63.0,3.552713678800501e-15,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,4.6402099542319775e-05
风电1-光伏4,54.0,0.0,1.4210854715202004e-14,7.105427357601002e-15,2.1316282072803006e-14,0.0,0.0,3.5108532756567e-05
风电1-光伏4,45.0,0.0,5.684341886080802e-14,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,2.5516259483993053e-05
风电1-光伏4,36.0,0.0,2.842170943040401e-14,0.0,7.105427357601002e-15,0.0,2.9103830456733704e-11,1.6505829989910126e-05
风电2-光伏1,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电2-光伏1,63.0,0.0,7.105427357601002e-15,3.552713678800501e-15,2.1316282072803006e-14,0.0,5.820766091346741e-11,2.214201958850026e-05
风电2-光伏1,54.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,1.363505725748837e-05
风电2-光伏1,45.0,0.0,0.0,7.105427357601002e-15,2.842170943040401e-14,0.0,2.9103830456733704e-11,9.999930625781417e-06
风电2-光伏1,36.0,0.0,0.0,0.0,2.1316282072803006e-14,0.0,3.637978807091713e-12,1.000003976514563e-05
风电2-光伏2,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电2-光伏2,63.0,0.0,7.105427357601002e-15,3.552713678800501e-15,2.1316282072803006e-14,0.0,5.820766091346741e-11,3.5728851798921824e-05
风电2-光伏2,54.0,0.0,5.684341886080802e-14,7.105427357601002e-15,2.842170943040401e-14,0.0,2.9103830456733704e-11,2.6088440790772438e-05
风电2-光伏2,45.0,0.0,1.4210854715202004e-14,3.552713678800501e-15,3.552713678800501e-15,0.0,2.9103830456733704e-11,1.713476376608014e-05
风电2-光伏2,36.0,0.0,5.684341886080802e-14,3.552713678800501e-15,7.105427357601002e-15,0.0,0.0,1.0879870387725532e-05
风电2-光伏3,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电2-光伏3,63.0,0.0,0.0,0.0,2.842170943040401e-14,0.0,0.0,4.759052535519004e-05
风电2-光伏3,54.0,0.0,2.842170943040401e-14,3.552713678800501e-15,2.1316282072803006e-14,0.0,0.0,3.6332115996629e-05
风电2-光伏3,45.0,0.0,5.684341886080802e-14,0.0,2.1316282072803006e-14,0.0,5.820766091346741e-11,2.6962545234709978e-05
风电2-光伏3,36.0,0.0,2.842170943040401e-14,0.0,2.7755575615628914e-17,0.0,0.0,1.8032442312687635e-05
风电2-光伏4,72.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,1.1641532182693481e-10
风电2-光伏4,63.0,7.105427357601002e-15,5.684341886080802e-14,3.552713678800501e-15,2.842170943040401e-14,0.0,0.0,5.2315182983875275e-05
风电2-光伏4,54.0,7.105427357601002e-15,5.684341886080802e-14,0.0,2.1316282072803006e-14,0.0,5.820766091346741e-11,4.1021849028766155e-05
风电2-光伏4,45.0,0.0,1.4210854715202004e-14,0.0,2.1316282072803006e-14,0.0,0.0,3.116019070148468e-05
风电2-光伏4,36.0,0.0,5.684341886080802e-14,0.0,3.552713678800501e-15,0.0,2.9103830456733704e-11,-5.820766091346741e-11
风电3-光伏1,72.0,0.0,0.0,0.0,0.0,0.0,5.820766091346741e-11,0.0
风电3-光伏1,63.0,0.0,5.684341886080802e-14,3.552713678800501e-15,7.105427357601002e-15,0.0,0.0,1.652556238695979e-05
风电3-光伏1,54.0,0.0,5.684341886080802e-14,0.0,0.0,0.0,1.4551915228366852e-11,1.0000017937272787e-05
风电3-光伏1,45.0,0.0,1.1368683772161603e-13,7.105427357601002e-15,9.684302670898148e-07,0.0,1.4551915228366852e-11,9.999905159929767e-06
风电3-光伏1,36.0,0.0,5.684341886080802e-14,0.0,7.105427357601002e-15,0.0,2.1827872842550278e-11,1.0000010661315173e-05
风电3-光伏2,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏2,63.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,5.820766091346741e-11,2.3283064365386963e-10
风电3-光伏2,54.0,0.0,1.4210854715202004e-14,3.552713678800501e-15,7.105427357601002e-15,0.0,0.0,1.9732106011360884e-05
风电3-光伏2,45.0,0.0,5.684341886080802e-14,3.552713678800501e-15,7.105427357601002e-15,0.0,0.0,1.2560034519992769e-05
风电3-光伏2,36.0,0.0,0.0,0.0,0.0,0.0,2.1827872842550278e-11,1.0000010661315173e-05
风电3-光伏3,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏3,63.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,5.820766091346741e-11,4.0551996789872646e-05
风电3-光伏3,54.0,0.0,5.684341886080802e-14,7.105427357601002e-15,0.0,0.0,0.0,-1.1641532182693481e-10
风电3-光伏3,45.0,0.0,5.684341886080802e-14,3.552713678800501e-15,0.0,0.0,0.0,-2.9103830456733704e-11
风电3-光伏3,36.0,0.0,5.684341886080802e-14,0.0,0.0,0.0,2.9103830456733704e-11,1.2674048775807023e-05
风电3-光伏4,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏4,63.0,7.105427357601002e-15,0.0,3.552713678800501e-15,7.105427357601002e-15,0.0,5.820766091346741e-11,4.5276712626218796e-05
风电3-光伏4,54.0,0.0,2.842170943040401e-14,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,3.398326225578785e-05
风电3-光伏4,45.0,0.0,2.842170943040401e-14,7.105427357601002e-15,3.552713678800501e-15,0.0,0.0,1.4551915228366852e-10
风电3-光伏4,36.0,0.0,5.684341886080801e-13,3.552713678800501e-15,0.0,0.0,2.9103830456733704e-11,5.820766091346741e-11
风电4-光伏1,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏1,63.0,0.0,1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,0.0,-5.820766091346741e-11
风电4-光伏1,54.0,0.0,2.842170943040401e-14,0.0,7.105427357601002e-15,0.0,2.1827872842550278e-11,1.0000017937272787e-05
风电4-光伏1,45.0,0.0,1.4210854715202004e-14,0.0,7.105427357601002e-15,0.0,2.2737367544323206e-11,1.0000027941714507e-05
风电4-光伏1,36.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,5.820766091346741e-11,9.99998883344233e-06
风电4-光伏2,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏2,63.0,0.0,1.4210854715202004e-14,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,2.4264940293505788e-05
风电4-光伏2,54.0,0.0,1.4210854715202004e-14,3.552713678800501e-15,1.7763568394002505e-14,0.0,1.5342782717198133e-05,1.5342782717198133e-05
风电4-光伏2,45.0,0.0,1.4210854715202004e-14,7.105427357601002e-15,3.552713678800501e-15,0.0,0.0,9.999974281527102e-06
风电4-光伏2,36.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,1.8189894035458565e-11,9.999999747378752e-06
风电4-光伏3,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏3,63.0,0.0,5.684341886080802e-14,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,3.543030470609665e-05
风电4-光伏3,54.0,0.0,2.842170943040401e-14,7.105427357601002e-15,7.105427357601002e-15,0.0,2.9103830456733704e-11,2.48260039370507e-05
风电4-光伏3,45.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,2.9103830456733704e-11,1.5590951079502702e-05
风电4-光伏3,36.0,0.0,2.842170943040401e-14,0.0,7.105427357601002e-15,0.0,2.9103830456733704e-11,1.0000017937272787e-05
风电4-光伏4,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏4,63.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,5.820766091346741e-11,-1.7462298274040222e-10
