场景,日氨产量(t/day),问题二日净成本(¥/day),问题二净吨氨成本(¥/t),问题二购电量(MWh),问题二售电量(MWh),问题二新能源自发自用比例(%),问题二新能源供电占比(%),问题二上网电量比例(%),问题二达标指标数,问题二达标状态,问题三日净成本(¥/day),问题三净吨氨成本(¥/t),问题三购电量(MWh),问题三售电量(MWh),问题三新能源自发自用比例(%),问题三新能源供电占比(%),问题三上网电量比例(%),问题三达标指标数,问题三达标状态,日成本节约(¥/day),相对成本节约率(%),吨氨成本下降(¥/t),购电量变化(MWh),售电量变化(MWh),新能源自发自用比例(%)变化,新能源供电占比(%)变化,上网电量比例(%)变化,达标指标数变化
风电1-光伏1,72,390965.9916328767,5430.083217123287,430.28,135.324,64.47088599618777,59.28155045802104,17.764557001906105,3,全部达标,390965.9916328767,5430.083217123287,430.28,135.324,64.4708859961878,59.28155045802102,17.764557001906105,3,全部达标,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,-1.4210854715202004e-14,0.0,0
风电1-光伏1,63,284907.4035328767,4522.33973861709,326.62620000000004,156.1702,58.99774733381993,64.96254103108706,20.50112633309004,1,部分达标,279434.1784088351,4435.463149346589,302.60170328002334,135.324,64.47088599618782,67.42862002731688,17.764557001906105,3,全部达标,5473.225124041608,1.9210540183137181,86.87658927050143,-24.024496719976696,-20.846199999999982,5.473138662367887,2.4660789962298253,-2.736569331183933,2
风电1-光伏1,54,201838.2105328767,3737.744639497717,235.0722,189.1162,50.34782426053213,70.89682068043382,24.826087869733936,1,部分达标,200775.98453738232,3718.0737877293022,233.21019971830356,192.21821070731468,49.53339598423797,70.94880599948894,25.233302007881008,1,部分达标,1062.225995494373,0.5262759676128573,19.67085176841465,-1.862000281696453,3.1020107073146903,-0.8144282762941586,0.05198531905512027,0.4072141381470722,0
风电1-光伏1,45,139353.3315328767,3096.7407007305933,233.2102,311.7542,18.149400601761187,65.86601680278679,40.92529969911941,1,部分达标,137622.14882309636,3058.269973846586,233.21019971831177,325.28963927875145,14.595691243284941,65.17611223331178,42.702154378357534,1,部分达标,1731.182709780347,1.2422973248916698,38.47072688400749,-2.81688215864051e-07,13.535439278751426,-3.5537093584762456,-0.6899045694750043,1.7768546792381272,0
风电1-光伏1,36,77295.78153287669,2147.105042579908,233.2102,436.2542,-14.53788837487726,58.25991552119126,57.26894418743864,1,部分达标,76016.78154287656,2111.5772650799045,233.21019950133007,446.25419956155594,-17.163373318128965,57.49923466851462,58.58168665906449,1,部分达标,1278.9999900001276,1.6546827842812128,35.527777500003594,-4.986699195796973e-07,9.99999956155591,-2.6254849432517045,-0.7606808526766429,1.312742471625846,0
风电1-光伏2,72,489792.2685328768,6802.670396289955,560.9662000000001,7.450200000000002,97.03889476236272,46.91439548792491,1.4805526188186109,3,全部达标,489792.26853287674,6802.670396289955,560.9662000000001,7.450200000000002,97.03889476236277,46.9143954879249,1.4805526188186109,3,全部达标,5.820766091346741e-11,1.1884152660845906e-14,0.0,0.0,0.0,5.684341886080802e-14,-7.105427357601002e-15,0.0,0
风电1-光伏2,63,380201.8404328767,6034.949848140899,448.9924,19.9764,92.0603174855526,51.83621891828109,3.9698412572237114,3,全部达标,373427.01320077636,5927.412907948831,433.8277941744491,7.4502000000000095,97.03889476236277,53.33085369878406,1.4805526188186122,3,全部达标,6774.827232100361,1.78190279783678,107.53694019206796,-15.164605825550893,-12.526199999999992,4.978577276810171,1.4946347805029703,-2.489288638405099,0
风电1-光伏2,54,293754.4074328768,5439.896433942162,342.7184,38.2024,84.81633691306108,57.56965284999753,7.591831543469447,3,全部达标,279092.81388333207,5168.385442283928,301.35933184856333,7.450200000000017,97.03889476236277,62.19365610629334,1.4805526188186136,3,全部达标,14661.593549544748,4.991105896137044,271.51099165823416,-41.359068151436645,-30.75219999999998,12.222557849301694,4.624003256295808,-6.111278924650834,0
风电1-光伏2,45,219799.55253287675,4884.434500730594,298.3182,118.3022,52.98042145928888,56.33643628699394,23.50978927035556,1,部分达标,204090.87716978788,4535.352825995286,247.290199625777,78.5739523730299,68.77053744682874,63.19649532264249,15.61473127658562,3,全部达标,15708.67536308887,7.146818627275972,349.0816747353074,-51.028000374222984,-39.7282476269701,15.790115987539863,6.860059035648554,-7.895057993769942,2
风电1-光伏2,36,148269.94053287667,4118.609459246574,262.5022,206.98620000000005,17.732688929340775,53.017217926689575,41.13365553532961,1,部分达标,142199.56554287675,3949.9879317465766,247.29019950132096,201.774199561548,19.804214767152878,54.93326295224098,40.09789261642355,1,部分达标,6070.374989999924,4.094137333692332,168.62152749999768,-15.21200049867906,-5.2120004384520655,2.0715258378121035,1.916045025551405,-1.0357629189060589,0
风电1-光伏3,72,587763.4826328767,8163.381703234399,719.2760000000001,0.0,99.99999999999991,31.933151639034,0.0,3,全部达标,587763.4826328767,8163.381703234399,719.2760000000001,0.0,100.0,31.933151639033987,0.0,3,全部达标,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,-1.4210854715202004e-14,0.0,0
风电1-光伏3,63,477358.0145328767,7577.111341791694,605.3822,10.6062,93.7138014011214,35.06015747355774,3.143099299439315,3,全部达标,468120.8255316968,7430.489294153917,586.2045714285714,0.0,100.0,36.53380846766086,0.0,3,全部达标,9237.18900117994,1.9350652382403344,146.62204763777663,-19.177628571428613,-10.6062,6.286198598878599,1.4736509941031244,-3.143099299439315,0
风电1-光伏3,54,381730.0706328767,7069.075382090309,526.3,56.024,66.79508303600008,34.841281632248794,16.602458481999978,3,全部达标,359172.2895757469,6651.338695847166,462.46116480618514,4.440892098500626e-15,100.00000000000004,42.18550083768514,1.3160382459017279e-15,3,全部达标,22557.78105712979,5.909353963058468,417.7366862431436,-63.838835193814816,-56.023999999999994,33.20491696399996,7.344219205436346,-16.602458481999978,0
风电1-光伏3,45,292467.5906328768,6499.279791841705,426.558,80.78200000000001,52.12124085774232,37.56652322824272,23.93937957112885,1,部分达标,265478.56097353605,5899.52357718969,329.3897362637362,3.552713678800501e-15,100.00000000000003,50.60391843560523,1.0528305967213823e-15,3,全部达标,26989.02965934074,9.228041165497554,599.7562146520158,-97.16826373626378,-80.78200000000001,47.87875914225771,13.037395207362508,-23.93937957112885,2
风电1-光伏3,36,208856.8154328767,5801.578206468797,345.8904,124.6144,26.142174701580128,38.092353951890026,36.92891264920994,1,部分达标,184949.06954623657,5137.474154062127,247.2901993337777,36.014199414239314,78.65471046203855,54.93326298111255,10.672644768980726,3,全部达标,23907.74588664013,11.446955100358553,664.1040524066702,-98.60020066622229,-88.60020058576069,52.51253576045842,16.840909029222523,-26.256267880229217,2
风电1-光伏4,72,627256.2186328768,8711.89192545662,783.9159999999999,0.0,99.99999999999996,25.81611022787494,0.0,2,部分达标,627256.2186328768,8711.89192545662,783.9159999999999,0.0,100.00000000000004,25.816110227874933,0.0,2,部分达标,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,-7.105427357601002e-15,0.0,0
风电1-光伏4,63,516307.3905328767,8195.355405283757,668.7422,9.3262,93.16271022419028,28.263478578018063,3.4186448879048696,2,部分达标,507613.5615364216,8057.358119625739,650.8445715125722,0.0,100.0,29.535475765772535,0.0,2,部分达标,8693.828996455122,1.683847482307447,137.99728565801797,-17.897628487427824,-9.3262,6.837289775809722,1.2719971877544722,-3.4186448879048696,0
风电1-光伏4,54,410355.60663287673,7599.177900608828,565.34,30.424,77.69534171053212,30.00792353785965,11.15232914473395,3,全部达标,394678.6186679852,7308.863308666392,529.9159999669471,3.552713678800501e-15,100.0,33.98495116743484,1.3022953031482314e-15,3,全部达标,15676.987964891538,3.8203420914672437,290.314591942436,-35.42400003305295,-30.423999999999996,22.30465828946788,3.9770276295751934,-11.152329144733947,0
风电1-光伏4,45,316717.2465328767,7038.161034063926,472.8282,62.4122,54.24392604214015,30.79415122508123,22.87803697892993,1,部分达标,298756.0501474039,6639.023336608976,398.94289558037315,3.552713678800501e-15,100.0,40.61112925044542,1.3022953031482314e-15,3,全部达标,17961.19638547278,5.671050939629941,399.1376974549503,-73.88530441962683,-62.4122,45.75607395785985,9.816978025364193,-22.87803697892993,2
风电1-光伏4,36,229052.59143287668,6362.571984246574,361.2504,75.33439999999999,44.7703112857583,35.34321305841924,27.61484435712086,1,部分达标,208652.23764938253,5795.895490260626,275.91600000000005,3.552713678800501e-15,100.0,49.7164309666132,1.3022953031482314e-15,3,全部达标,20400.353783494153,8.906406016136442,566.6764939859486,-85.33439999999996,-75.33439999999999,55.2296887142417,14.373217908193965,-27.61484435712086,2
