场景,日氨产量(t/day),开机时间(h),设备利用率(%),碱性电解槽利用率(%),PEM电解槽利用率(%),合成氨装置利用率(%),最优生产时段,常规负荷电量(MWh),生产负荷电量(MWh),总负荷电量(MWh),风电电量(MWh),光伏电量(MWh),新能源发电量(MWh),购电量(MWh),售电量(MWh),新能源自发自用比例(%),新能源供电占比(%),上网电量比例(%),新能源自发自用比例达标,新能源供电占比达标,上网电量比例达标,达标指标数,达标状态,风电发电成本(¥/day),光伏发电成本(¥/day),购电成本(¥/day),售电收入(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),日净成本(¥/day),净吨氨成本(¥/t),求解器,求解状态,MIP间隙,MIP节点数,风电场景,光伏场景
风电1-光伏1,72,24,100.0,100.0,100.0,100.0,00:00-24:00,60.72,996.0,1056.7199999999998,252.324,509.44000000000005,761.7639999999999,430.28,135.324,64.47088599618777,59.28155045802104,17.764557001906105,是,是,是,3,全部达标,37848.6,61132.8,219763.86000000002,51138.93960000001,48000.0,72000.0,72.0,3287.671232876712,390965.9916328767,5430.083217123287,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,1,1
风电1-光伏1,63,21,87.5,87.5,87.5,87.5,00:00-18:00、21:00-24:00,60.72,871.5,932.22,252.324,509.44000000000005,761.7639999999999,326.62620000000004,156.1702,58.99774733381993,64.96254103108706,20.501126333090042,否,是,否,1,部分达标,37848.6,61132.8,136592.05088,59016.71858,42000.0,63000.0,63.0,3287.671232876712,284907.4035328767,4522.33973861709,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,1
风电1-光伏1,54,18,75.0,75.0,75.0,75.0,00:00-17:00、23:00-24:00,60.72,747.0,807.7199999999999,252.324,509.44000000000005,761.7639999999999,235.0722,189.1162,50.34782426053213,70.89682068043382,24.826087869733936,否,是,否,1,部分达标,37848.6,61132.8,80982.15127999999,71467.01198000001,36000.0,54000.0,54.0,3287.671232876712,201838.2105328767,3737.7446394977164,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,1
风电1-光伏1,45,15,62.5,62.5,62.5,62.5,00:00-07:00、09:00-16:00、23:00-24:00,60.72,622.5,683.22,252.324,509.44000000000005,761.7639999999999,233.2102,311.75419999999997,18.149400601761187,65.86601680278679,40.925299699119414,否,是,否,1,部分达标,37848.6,61132.8,79851.17248000001,117811.91218,30000.0,45000.0,45.0,3287.671232876712,139353.3315328767,3096.7407007305933,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,1
风电1-光伏1,36,12,50.0,50.0,50.0,50.0,00:00-07:00、12:00-16:00、23:00-24:00,60.72,498.0,558.72,252.324,509.44000000000005,761.7639999999999,233.2102,436.2542,-14.537888374877259,58.25991552119126,57.26894418743864,否,是,否,1,部分达标,37848.6,61132.8,79851.17248000001,164860.46218000003,24000.0,36000.0,36.0,3287.671232876712,77295.78153287669,2147.105042579908,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,1
风电1-光伏2,72,24,100.0,100.0,100.0,100.0,00:00-24:00,60.72,996.0,1056.7199999999998,252.324,250.88,503.204,560.9662000000001,7.450200000000002,97.03889476236273,46.91439548792491,1.4805526188186109,是,是,是,3,全部达标,37848.6,30105.6,301293.82788,2815.430580000001,48000.0,72000.0,72.0,3287.671232876712,489792.26853287674,6802.670396289955,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,1,2
风电1-光伏2,63,21,87.5,87.5,87.5,87.5,00:00-18:00、21:00-24:00,60.72,871.5,932.22,252.324,250.88,503.204,448.9924,19.9764,92.06031748555259,51.836218918281084,3.9698412572237105,是,是,是,3,全部达标,37848.6,30105.6,211446.05075999998,7549.081560000001,42000.0,63000.0,63.0,3287.671232876712,380201.84043287666,6034.949848140899,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,2
风电1-光伏2,54,18,75.0,75.0,75.0,75.0,00:00-17:00、23:00-24:00,60.72,747.0,807.7199999999999,252.324,250.88,503.204,342.7184,38.2024,84.81633691306108,57.56965284999753,7.591831543469447,是,是,是,3,全部达标,37848.6,30105.6,146895.22316,14436.68696,36000.0,54000.0,54.0,3287.671232876712,293754.40743287676,5439.896433942162,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,2
风电1-光伏2,45,15,62.5,62.5,62.5,62.5,00:00-07:00、09:00-10:00、11:00-17:00、23:00-24:00,60.72,622.5,683.22,252.324,250.88,503.204,298.3182,118.3022,52.980421459288884,56.336436286993944,23.50978927035556,否,是,否,1,部分达标,37848.6,30105.6,118219.08268,44706.40138,30000.0,45000.0,45.0,3287.671232876712,219799.55253287673,4884.434500730594,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,2
风电1-光伏2,36,12,50.0,50.0,50.0,50.0,00:00-07:00、11:00-14:00、15:00-16:00、23:00-24:00,60.72,498.0,558.72,252.324,250.88,503.204,262.5022,206.98620000000003,17.732688929340775,53.017217926689575,41.13365553532961,否,是,否,1,部分达标,37848.6,30105.6,95212.15427999999,78220.08498000001,24000.0,36000.0,36.0,3287.671232876712,148269.94053287667,4118.609459246574,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,2
风电1-光伏3,72,24,100.0,100.0,100.0,100.0,00:00-24:00,60.72,996.0,1056.7199999999998,252.324,85.12,337.44399999999996,719.2760000000001,0.0,99.99999999999993,31.933151639033998,0.0,是,是,是,3,全部达标,37848.6,10214.400000000001,416340.8114,0.0,48000.0,72000.0,72.0,3287.671232876712,587763.4826328767,8163.381703234399,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,1,3
