场景,日氨产量(t/day),时段,时段序号(h),设备状态,常规负荷功率(MW),生产负荷功率(MW),总负荷功率(MW),风电功率(MW),光伏功率(MW),风光总出力(MW),购电功率(MW),售电功率(MW),购电电价(¥/kWh),售电电价(¥/kWh),开机边际电网成本(¥/h),风电场景,光伏场景
风电1-光伏1,72,0:00-1:00,1,1,1.3698000000000001,41.5,42.8698,9.776,0.0,9.776,33.0938,0.0,0.3424,0.3779,14508.0201,1,1
风电1-光伏1,72,1:00-2:00,2,1,1.0997999999999999,41.5,42.5998,10.904,0.0,10.904,31.695800000000002,0.0,0.3424,0.3779,14557.6491,1,1
风电1-光伏1,72,2:00-3:00,3,1,0.7998000000000001,41.5,42.2998,15.152000000000001,0.0,15.152000000000001,27.147799999999997,0.0,0.3424,0.3779,14719.1031,1,1
风电1-光伏1,72,3:00-4:00,4,1,0.99,41.5,42.49,13.312,0.0,13.312,29.178000000000004,0.0,0.3424,0.3779,14647.031,1,1
风电1-光伏1,72,4:00-5:00,5,1,1.1802000000000001,41.5,42.6802,15.072000000000001,0.0,15.072000000000001,27.608199999999997,0.0,0.3424,0.3779,14702.7589,1,1
风电1-光伏1,72,5:00-6:00,6,1,1.6301999999999999,41.5,43.1302,18.724,0.0,18.724,24.406200000000002,0.0,0.3424,0.3779,14816.429900000001,1,1
风电1-光伏1,72,6:00-7:00,7,1,2.5002,41.5,44.0002,9.628,14.08,23.708,20.2922,0.0,0.3424,0.3779,14962.4769,1,1
风电1-光伏1,72,7:00-8:00,8,1,3.3701999999999996,41.5,44.8702,22.804000000000002,25.6,48.404,0.0,3.5338000000000065,0.6074,0.3779,15682.849999999999,1,1
风电1-光伏1,72,8:00-9:00,9,1,4.0098,41.5,45.5098,17.852,37.12,54.971999999999994,0.0,9.462199999999996,0.6074,0.3779,15682.85,1,1
风电1-光伏1,72,9:00-10:00,10,1,4.199999999999999,41.5,45.7,14.328000000000001,46.08,60.408,0.0,14.707999999999998,0.6074,0.3779,15682.850000000002,1,1
风电1-光伏1,72,10:00-11:00,11,1,4.1202,41.5,45.6202,11.904,52.48,64.384,0.0,18.763800000000003,0.8024,0.3779,15682.85,1,1
风电1-光伏1,72,11:00-12:00,12,1,3.9000000000000004,41.5,45.4,7.736,55.04,62.775999999999996,0.0,17.375999999999998,0.8024,0.3779,15682.850000000002,1,1
