场景,日氨产量(t/day),时段,时段序号(h),设备状态,常规负荷功率(MW),生产负荷功率(MW),总负荷功率(MW),风电功率(MW),光伏功率(MW),风光总出力(MW),购电功率(MW),售电功率(MW),购电电价(¥/kWh),售电电价(¥/kWh),开机边际电网成本(¥/h)
典型场景,72,0:00-1:00,1,1,1.3698000000000001,41.5,42.8698,10.904,0.0,10.904,31.965799999999998,0.0,0.3424,0.3779,14548.0641
典型场景,72,1:00-2:00,2,1,1.0997999999999999,41.5,42.5998,15.152000000000001,0.0,15.152000000000001,27.4478,0.0,0.3424,0.3779,14708.4531
典型场景,72,2:00-3:00,3,1,0.7998000000000001,41.5,42.2998,13.312,0.0,13.312,28.9878,0.0,0.3424,0.3779,14653.7831
典型场景,72,3:00-4:00,4,1,0.99,41.5,42.49,15.072000000000001,0.0,15.072000000000001,27.418,0.0,0.3424,0.3779,14709.510999999999
典型场景,72,4:00-5:00,5,1,1.1802000000000001,41.5,42.6802,18.724,0.0,18.724,23.9562,0.0,0.3424,0.3779,14832.404899999998
典型场景,72,5:00-6:00,6,1,1.6301999999999999,41.5,43.1302,9.628,1.28,10.908,32.2222,0.0,0.3424,0.3779,14538.961899999998
典型场景,72,6:00-7:00,7,1,2.5002,41.5,44.0002,22.804000000000002,7.68,30.484,13.516199999999998,0.0,0.3424,0.3779,15203.0249
典型场景,72,7:00-8:00,8,1,3.3701999999999996,41.5,44.8702,17.852,17.92,35.772000000000006,9.098199999999991,0.0,0.6074,0.3779,17770.8869
典型场景,72,8:00-9:00,9,1,4.0098,41.5,45.5098,14.328000000000001,28.8,43.128,2.3817999999999984,0.0,0.6074,0.3779,16229.4731
典型场景,72,9:00-10:00,10,1,4.199999999999999,41.5,45.7,11.904,37.12,49.024,0.0,3.323999999999998,0.6074,0.3779,15682.850000000002
典型场景,72,10:00-11:00,11,1,4.1202,41.5,45.6202,7.736,42.88,50.616,0.0,4.995800000000003,0.8024,0.3779,15682.850000000002
典型场景,72,11:00-12:00,12,1,3.9000000000000004,41.5,45.4,8.556000000000001,44.8,53.355999999999995,0.0,7.955999999999996,0.8024,0.3779,15682.85
典型场景,72,12:00-13:00,13,1,3.2598000000000003,41.5,44.7598,14.52,46.08,60.599999999999994,0.0,15.840199999999996,0.8024,0.3779,15682.849999999999
典型场景,72,13:00-14:00,14,1,2.6898,41.5,44.1898,6.707999999999999,42.88,49.588,0.0,5.398200000000003,0.8024,0.3779,15682.849999999999
典型场景,72,14:00-15:00,15,1,3.63,41.5,45.13,11.175999999999998,37.12,48.29599999999999,0.0,3.1659999999999897,0.8024,0.3779,15682.85
