模型,时段序号(h),净交换功率(MW)
问题二离散调节,1,32.9178
问题二离散调节,2,30.787133333333333
问题二离散调节,3,29.121133333333333
问题二离散调节,4,28.436666666666667
问题二离散调节,5,28.40686666666667
问题二离散调节,6,28.1002
问题二离散调节,7,25.554866666666666
问题二离散调节,8,-5.238466666666668
问题二离散调节,9,-10.020866666666667
问题二离散调节,10,-11.03283333333333
问题二离散调节,11,-26.672466666666665
问题二离散调节,12,-25.669666666666668
问题二离散调节,13,-17.654366666666668
问题二离散调节,14,-15.617533333333334
问题二离散调节,15,-13.444333333333333
问题二离散调节,16,8.833366666666667
问题二离散调节,17,-6.622166666666668
问题二离散调节,18,-7.283033333333332
问题二离散调节,19,-11.196666666666667
问题二离散调节,20,-6.126866666666667
问题二离散调节,21,-4.612000000000001
问题二离散调节,22,-0.5874666666666662
问题二离散调节,23,-2.2941666666666665
问题二离散调节,24,34.659533333333336
问题三连续调节,1,32.9178
问题三连续调节,2,30.7871332052777
问题三连续调节,3,29.12113331255514
问题三连续调节,4,28.43666662511045
问题三连续调节,5,28.40686662798109
问题三连续调节,6,28.10019982656203
问题三连续调节,7,24.692366645888583
问题三连续调节,8,-10.167458296796186
问题三连续调节,9,-11.117474997022088
问题三连续调节,10,-11.815416588462618
问题三连续调节,11,-15.63661664839798
问题三连续调节,12,-15.405333374999875
问题三连续调节,13,-17.049116666666666
问题三连续调节,14,-18.917733226245144
问题三连续调节,15,-18.73284996346253
问题三连续调节,16,-13.179524975593305
问题三连续调节,17,-9.622858290303387
问题三连续调节,18,-7.505058336860222
问题三连续调节,19,-5.487333333333333
问题三连续调节,20,-3.5054166249019008
问题三连续调节,21,-3.4771666631397875
问题三连续调节,22,-2.957841641645494
问题三连续调节,23,0.09600000000000038
问题三连续调节,24,34.659533333333336
