模型,场景,风电场景,光伏场景,日氨产量(t/day),购电量(MWh),售电量(MWh),最大购电功率(MW),最大反送功率(MW),交换功率峰谷差(MW),最大爬坡功率(MW/h),交换功率标准差(MW)
问题二离散调节,风电1-光伏1,1,1,36.0,233.2102,436.2542,39.7882,60.2638,100.052,65.32600000000001,31.77393535272093
问题二离散调节,风电1-光伏1,1,1,45.0,233.2102,311.75419999999997,39.7882,50.9622,90.75040000000001,65.32600000000001,26.063713262865846
问题二离散调节,风电1-光伏1,1,1,54.0,235.0722,189.1162,39.7882,27.5642,67.3524,43.108200000000004,20.798427251410676
问题二离散调节,风电1-光伏1,1,1,63.0,326.62620000000004,156.1702,39.7882,26.650200000000005,66.4384,41.330200000000005,22.071271464256178
问题二离散调节,风电1-光伏1,1,1,72.0,430.28,135.324,39.7882,26.650200000000005,66.4384,23.826000000000008,23.015914084220558
问题二离散调节,风电1-光伏2,1,2,36.0,262.5022,206.98620000000003,39.7882,35.078,74.8662,57.006,23.240344098117156
问题二离散调节,风电1-光伏2,1,2,45.0,298.3182,118.3022,39.7882,32.74380000000001,72.53200000000001,57.006,19.94459200006079
问题二离散调节,风电1-光伏2,1,2,54.0,342.7184,38.2024,39.7882,12.844199999999995,52.6324,43.108200000000004,15.209425327700218
问题二离散调节,风电1-光伏2,1,2,63.0,448.9924,19.9764,39.7882,7.450200000000002,47.238400000000006,41.330200000000005,15.000879975817716
问题二离散调节,风电1-光伏2,1,2,72.0,560.9662000000001,7.450200000000002,39.7882,7.450200000000002,47.238400000000006,15.506,13.587408771808635
问题二离散调节,风电1-光伏3,1,3,36.0,345.8904,124.61439999999999,39.7882,25.910200000000003,65.6984,43.108200000000004,20.60596455233829
问题二离散调节,风电1-光伏3,1,3,45.0,426.558,80.78200000000001,39.7882,19.376200000000004,59.16440000000001,43.108200000000004,19.12417444097624
问题二离散调节,风电1-光伏3,1,3,54.0,526.3,56.02400000000001,39.7882,15.4638,55.252,41.7158,17.860785027508978
