运行模式_储能后,场景,风电场景,光伏场景,日氨产量(t/day)_储能后,新能源发电量(MWh)_储能后,弃电量(MWh)_储能后,弃电率(%)_储能后,常规负荷需求量(MWh)_储能后,常规负荷失供量(MWh)_储能后,常规负荷供电保障率(%)_储能后,园区终端用电量(MWh)_储能后,本地电力自给率(%)_储能后,新能源利用率(%)_储能后,碱性电解槽利用率(%)_储能后,PEM电解槽利用率(%)_储能后,制氢装置平均利用率(%)_储能后,合成氨装置利用率(%)_储能后,储能容量(MWh)_储能后,充电量(MWh)_储能后,放电量(MWh)_储能后,购电量(MWh)_储能后,售电量(MWh)_储能后,风电发电成本(¥/day)_储能后,光伏发电成本(¥/day)_储能后,碱性电解槽运维成本(¥/day)_储能后,PEM电解槽运维成本(¥/day)_储能后,合成氨装置运维成本(¥/day)_储能后,合成氨装置资本分摊(¥/day)_储能后,储能运维成本(¥/day)_储能后,储能资本分摊(¥/day)_储能后,购电成本(¥/day)_储能后,售电收入(¥/day)_储能后,日净成本(¥/day)_储能后,净吨氨成本(¥/t)_储能后,C-rate,日自损耗率(%),运行模式_储能前,日氨产量(t/day)_储能前,新能源发电量(MWh)_储能前,弃电量(MWh)_储能前,弃电率(%)_储能前,常规负荷需求量(MWh)_储能前,常规负荷失供量(MWh)_储能前,常规负荷供电保障率(%)_储能前,园区终端用电量(MWh)_储能前,本地电力自给率(%)_储能前,新能源利用率(%)_储能前,碱性电解槽利用率(%)_储能前,PEM电解槽利用率(%)_储能前,制氢装置平均利用率(%)_储能前,合成氨装置利用率(%)_储能前,储能容量(MWh)_储能前,充电量(MWh)_储能前,放电量(MWh)_储能前,购电量(MWh)_储能前,售电量(MWh)_储能前,风电发电成本(¥/day)_储能前,光伏发电成本(¥/day)_储能前,碱性电解槽运维成本(¥/day)_储能前,PEM电解槽运维成本(¥/day)_储能前,合成氨装置运维成本(¥/day)_储能前,合成氨装置资本分摊(¥/day)_储能前,储能运维成本(¥/day)_储能前,储能资本分摊(¥/day)_储能前,购电成本(¥/day)_储能前,售电收入(¥/day)_储能前,日净成本(¥/day)_储能前,净吨氨成本(¥/t)_储能前,日氨产量增加(t/day),弃电量减少(MWh),吨氨成本变化(¥/t)
离网配置储能,风电1-光伏1,1,1,40.907611064139225,761.7639999999999,142.90827335252231,18.760176820186086,60.72,0.0,100.0,618.3610090479492,100.0,81.23982317981391,43.07010869023227,68.84389204224264,56.81612647797114,56.816126477971146,0.62975524,2.60094594314928,2.1062283436209004,0.0,0.0,37848.6,61132.8,20673.65217131149,49567.6022704147,40.907611064139225,3287.671232876712,21.062283436209004,115.0237881278539,0.0,0.0,172687.3193572311,4221.398289097691,0.5,0.2,离网无储能,40.55970360460795,761.7639999999999,147.92579999999998,19.418848882331012,60.72,0.0,100.0,613.8382,100.0,80.581151117669,43.0700885668277,67.93790064102565,56.33292167306661,56.33292167306659,0.0,0.0,0.0,0.0,0.0,37848.6,61132.8,20673.642512077295,48915.28846153846,40.55970360460795,3287.671232876712,0.0,0.0,0.0,0.0,171898.56191009708,4238.161195304392,0.3479074595312781,5.017526647477666,-16.76290620670079
离网配置储能,风电1-光伏2,1,2,31.78869041493948,503.204,15.50121153314675,3.080502446949299,60.72,0.0,100.0,487.4763596367252,100.0,96.9194975530507,22.505640404186682,63.0906126019082,44.150958909638156,44.15095890963817,0.62975524,1.189575086871656,0.9631462567436381,0.0,0.0,37848.6,30105.6,10802.707394009607,45425.2410733739,31.78869041493948,3287.671232876712,9.631462567436381,115.0237881278539,0.0,0.0,127626.26364137045,4014.8323814368564,0.5,0.2,离网无储能,31.45604756596061,503.204,20.052,3.9848649851749984,60.72,0.0,100.0,483.15200000000004,100.0,96.015135014825,22.50563607085346,62.224358974358985,43.68895495272307,43.68895495272307,0.0,0.0,0.0,0.0,0.0,37848.6,30105.6,10802.70531400966,44801.53846153847,31.45604756596061,3287.671232876712,0.0,0.0,0.0,0.0,126877.5710559908,4033.487385531813,0.3326428489788711,4.55078846685325,-18.65500409495644
离网配置储能,风电1-光伏3,1,3,20.5826203578996,337.44399999999996,8.365889153146759,2.479193333752196,60.72,0.0,100.0,328.91124116573803,100.0,97.52080666624781,1.0286275217390988,52.70052476717512,28.586972719304978,28.586972719305,0.62975524,0.8746974668715881,0.7078277857565854,0.0,0.0,37848.6,10214.400000000001,493.74121043476737,37944.37783236608,20.5826203578996,3287.671232876712,7.078277857565855,115.0237881278539,0.0,0.0,89931.4749620209,4369.291829623882,0.5,0.2,离网无储能,20.269617391304347,337.44399999999996,12.601799999999999,3.734486314766302,60.72,0.0,100.0,324.84220000000005,100.0,96.2655136852337,1.0286231884058001,51.885416666666664,28.152246376811597,28.152246376811593,0.0,0.0,0.0,0.0,0.0,37848.6,10214.400000000001,493.7391304347841,37357.5,20.269617391304347,3287.671232876712,0.0,0.0,0.0,0.0,89222.1799807028,4401.769320963062,0.31300296659525273,4.2359108468532405,-32.47749133917932
离网配置储能,风电1-光伏4,1,4,15.427871220983052,272.804,11.295211533146755,4.140412726040218,60.72,1e-07,99.99999983530962,261.2823257727797,100.0,95.85958727395978,0.0,40.176747971310036,21.427598918032018,21.427598918032018,0.62975524,1.1895750868715984,0.9631123927980346,0.0,0.0,37848.6,2457.6000000000004,0.0,28927.258539343224,15.427871220983052,3287.671232876712,9.631123927980346,115.0237881278539,0.0,0.0,72661.21255549675,4709.736781875136,0.5,0.2,离网无储能,14.801538461538462,272.804,19.664,7.208105452999224,60.72,0.0,100.0,253.14000000000001,100.0,92.79189454700078,0.0,38.54567307692308,20.55769230769231,20.557692307692307,0.0,0.0,0.0,0.0,0.0,37848.6,2457.6000000000004,0.0,27752.884615384617,14.801538461538462,3287.671232876712,0.0,0.0,0.0,0.0,71361.55738672287,4821.225683543276,0.6263327594445904,8.368788466853246,-111.48890166813999
离网配置储能,风电2-光伏1,2,1,36.99185863718898,658.904,93.5722866903551,14.201201797280804,60.72,0.0,100.0,564.8968510718862,100.0,85.7987982027192,38.80448131404915,62.37904405121996,51.37758144054025,51.377581440540254,0.62975524,2.2861457425794267,1.851283504820819,0.0,0.0,22419.6,61132.8,18626.151030743593,44912.91171687837,36.99185863718898,3287.671232876712,18.51283504820819,115.0237881278539,0.0,0.0,150549.6624623119,4069.8053033474775,0.5,0.2,离网无储能,36.923402601263476,658.904,95.05199999999999,14.425773709068391,60.72,0.13819999999999988,99.77239789196311,563.852,100.0,85.5742262909316,38.776610305958144,62.225160256410255,51.28250361286593,51.28250361286594,0.0,0.0,0.0,0.0,0.0,22419.6,61132.8,18612.77294685991,44802.11538461538,36.923402601263476,3287.671232876712,0.0,0.0,0.0,0.0,150291.88296695327,4070.3692611961624,0.06845603592550731,1.4797133096448931,-0.5639578486848222
离网配置储能,风电2-光伏2,2,2,25.007979849718964,400.34400000000005,4.668000551534058,1.1659973801365968,60.72,0.0,100.0,395.4954845115818,100.0,98.8340026198634,16.11957744205891,51.02031726350824,34.73330534683189,34.73330534683189,0.62975524,0.9486766417755184,0.7681617048914724,0.0,0.0,22419.6,30105.6,7737.397172188277,36734.62842972593,25.007979849718964,3287.671232876712,7.681617048914724,115.0237881278539,0.0,0.0,100432.61021981742,4016.0225185460577,0.5,0.2,离网无储能,24.97311237458194,400.34400000000005,5.44,1.358831404991707,60.72,0.13819999999999988,99.77239789196311,394.904,100.0,98.64116859500828,16.11956521739129,50.92952724358976,34.684878298030476,34.684878298030476,0.0,0.0,0.0,0.0,0.0,22419.6,30105.6,7737.391304347819,36669.25961538463,24.97311237458194,3287.671232876712,0.0,0.0,0.0,0.0,100244.49526498375,4014.096992051912,0.03486747513702326,0.7719994484659427,1.9255264941457426
离网配置储能,风电2-光伏3,2,3,13.001190552060102,234.584,4.668000551534058,1.9899057700158824,60.72,1e-07,99.99999983530962,229.73547707678134,100.0,98.01009422998412,0.0,33.85726706265652,18.057209100083476,18.057209100083476,0.62975524,0.9486766417755197,0.7681542700909041,0.0,0.0,22419.6,10214.400000000001,0.0,24377.232285112692,13.001190552060102,3287.671232876712,7.681542700909041,115.0237881278539,0.0,0.0,60434.61003937022,4648.390452964637,0.5,0.2,离网无储能,12.966323076923075,234.584,5.44,2.318998738191863,60.72,0.13819999999999988,99.77239789196311,229.144,100.0,97.68100126180815,0.0,33.76646634615385,18.00878205128205,18.008782051282047,0.0,0.0,0.0,0.0,0.0,22419.6,10214.400000000001,0.0,24311.85576923077,12.966323076923075,3287.671232876712,0.0,0.0,0.0,0.0,60246.4933251844,4646.382244817624,0.034867475137026815,0.7719994484659427,2.0082081470127378
离网配置储能,风电2-光伏4,2,4,7.3264275087102835,169.94400000000002,13.541240432110522,7.968060321111967,60.72,1e-07,99.99999983530962,155.9635575132337,100.0,92.03193967888804,0.0,19.079238303933035,10.175593762097618,10.175593762097616,0.62975524,2.309215833245915,1.870013778590127,0.0,0.0,22419.6,2457.6000000000004,0.0,13737.051578831784,7.3264275087102835,3287.671232876712,18.70013778590127,115.0237881278539,0.0,0.0,42042.973165130956,5738.536703618056,0.5,0.2,离网无储能,6.952307692307691,169.94400000000002,18.982200000000002,11.169679423810196,60.72,0.13819999999999988,99.77239789196311,150.96179999999998,100.0,88.8303205761898,0.0,18.10496794871795,9.655982905982906,9.655982905982905,0.0,0.0,0.0,0.0,0.0,22419.6,2457.6000000000004,0.0,13035.576923076924,6.952307692307691,3287.671232876712,0.0,0.0,0.0,0.0,41207.400463645936,5927.154304352703,0.37411981640259206,5.440959567889481,-188.61760073464666
离网配置储能,风电3-光伏1,3,1,43.67859182759216,780.8399999999999,125.5865842820537,16.083523421194318,60.72,1e-07,99.99999983530962,654.875265519057,100.0,83.91647657880567,43.8892864339317,75.34320725466434,60.66471087165577,60.66471087165577,0.62975524,1.9882480411372092,1.6100978422480297,0.0,0.0,40710.00000000001,61132.8,21066.857488287216,54247.109223358326,43.67859182759216,3287.671232876712,16.100978422480296,115.0237881278539,0.0,0.0,180619.2413029002,4135.189202432149,0.5,0.2,离网无储能,43.63029639539205,780.8399999999999,126.36819999999997,16.18362276522719,60.72,0.0,100.0,654.4718,100.0,83.81637723477282,44.26324476650562,74.89022435897436,60.597633882488964,60.597633882488964,0.0,0.0,0.0,0.0,0.0,40710.00000000001,61132.8,21246.357487922698,53920.961538461546,43.63029639539205,3287.671232876712,0.0,0.0,0.0,0.0,180341.42055565637,4133.398932735714,0.04829543220010635,0.7816157179462664,1.7902696964347342
离网配置储能,风电3-光伏2,3,2,34.19240860433035,522.28,3.31932238,0.6355446082561078,60.72,0.0,100.0,518.88310190311,100.0,99.36445539174389,22.76965007802576,69.11928692217107,47.489456394903264,47.48945639490327,0.62975524,0.40707762000000536,0.32950190311007715,0.0,0.0,40710.00000000001,30105.6,10929.432037452365,49765.886583963176,34.19240860433035,3287.671232876712,3.2950190311007717,115.0237881278539,0.0,0.0,134951.10107005556,3946.8147047401762,0.5,0.2,离网无储能,34.167062504645116,522.28,3.7264000000000053,0.7134870184575335,60.72,0.0,100.0,518.5536,100.0,99.28651298154246,22.769645732689217,69.05328525641025,47.45425347867377,47.45425347867378,0.0,0.0,0.0,0.0,0.0,40710.00000000001,30105.6,10929.429951690823,49718.365384615376,34.167062504645116,3287.671232876712,0.0,0.0,0.0,0.0,134785.23363168756,3944.8879637622667,0.025346099685236823,0.40707762000000525,1.9267409779095033
