运行模式,场景,风电场景,光伏场景,日氨产量(t/day),新能源发电量(MWh),弃电量(MWh),弃电率(%),常规负荷失供量(MWh),能源自治率(%),新能源利用率(%),碱性电解槽利用率(%),PEM电解槽利用率(%),制氢装置平均利用率(%),合成氨装置利用率(%),储能容量(MWh),充电量(MWh),放电量(MWh),购电量(MWh),售电量(MWh),风电发电成本(¥/day),光伏发电成本(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),储能运维成本(¥/day),储能资本分摊(¥/day),购电成本(¥/day),售电收入(¥/day),日净成本(¥/day),净吨氨成本(¥/t),C-rate,日自损耗率(%)
离网配置储能,风电1-光伏1,1,1,40.96569518793271,761.7639999999999,141.74118590327262,18.606968287195592,0.0,100.0,81.39303171280442,43.070092906155146,68.99516659235567,56.032629749255406,56.896798872128755,1.15424349,4.767130356769739,3.8604094468607473,0.0,0.0,37848.6,61132.8,20673.64459495447,49676.51994649608,40.96569518793271,3287.671232876712,38.60409446860747,210.82072876712328,0.0,0.0,172909.62629275094,4220.839546345232,0.5,0.2
离网配置储能,风电1-光伏2,1,2,31.834067118324647,503.204,14.722844493439615,2.925820242573512,0.0,100.0,97.07417975742649,22.50564041318322,63.20878109243509,42.85721075280915,44.21398210878423,1.15424349,2.1803067109570504,1.7654079905269828,0.0,0.0,37848.6,30105.6,10802.707398327944,45510.322386553264,31.834067118324647,3287.671232876712,17.65407990526983,210.82072876712328,0.0,0.0,127815.20989354864,4015.044933418965,0.5,0.2
离网配置储能,风电1-光伏3,1,3,20.611660452463994,337.44399999999996,7.849766238439612,2.326242647206533,0.0,100.0,97.67375735279347,1.02862752173912,52.77615001343655,26.90238876758784,28.62730618397777,1.15424349,1.6031849659570505,1.2977135994721087,0.0,0.0,37848.6,10214.400000000001,493.7412104347776,37998.82800967432,20.611660452463994,3287.671232876712,12.977135994721088,210.82072876712328,0.0,0.0,90087.6499782001,4370.712887783415,0.5,0.2
离网配置储能,风电1-光伏4,1,4,15.473261136388203,272.804,10.516844493439612,3.8550917484492944,1e-07,99.99999983530962,96.1449082515507,0.0,40.29495087601095,20.147475438005475,21.490640467205836,1.15424349,2.1803067109570544,1.7655458774433075,0.0,0.0,37848.6,2457.6000000000004,0.0,29012.364630727883,15.473261136388203,3287.671232876712,17.655458774433075,210.82072876712328,0.0,0.0,72850.18531228254,4708.133900807892,0.5,0.2
离网配置储能,风电2-光伏1,2,1,37.048870709469014,658.904,92.45501558786884,14.031636716102625,0.0,100.0,85.96836328389738,38.82771886285096,62.507180134247626,50.66744949854929,51.45676487426252,1.15424349,4.190149220065102,3.3931153487417283,0.0,0.0,22419.6,61132.8,18637.30505416846,45005.16969665829,37.048870709469014,3287.671232876712,33.93115348741728,210.82072876712328,0.0,0.0,150764.34673666744,4069.3371714062755,0.5,0.2
离网配置储能,风电2-光伏2,2,2,25.048267806349735,400.34400000000005,4.140145115601637,1.0341469125556113,0.0,100.0,98.96585308744439,15.702902884058188,51.48982405548483,33.59636346977151,34.78926084215241,1.15424349,2.284776202707875,1.85014453129099,0.0,0.0,22419.6,30105.6,7537.393384347931,37072.67331994908,25.048267806349735,3287.671232876712,18.5014453129099,210.82072876712328,0.0,0.0,100677.30837906012,4019.3321613057183,0.5,0.2
离网配置储能,风电2-光伏3,2,3,13.030229906959612,234.584,4.140145115601637,1.7648881064359194,1e-07,99.99999983530962,98.23511189356408,0.0,33.93289038270732,16.96644519135366,18.097541537443906,1.15424349,1.7387762027079412,1.407910008784532,0.0,0.0,22419.6,10214.400000000001,0.0,24431.681075549273,13.030229906959612,3287.671232876712,14.079100087845319,210.82072876712328,0.0,0.0,60591.282367187916,4650.054741921733,0.5,0.2
离网配置储能,风电2-光伏4,2,4,7.663024120780864,169.94400000000002,8.85918950904125,5.213005171727892,1e-07,99.99999983530962,94.78699482827211,0.0,19.955791981200164,9.977895990600082,10.643089056640088,1.15424349,3.919083440168024,3.173586419360497,0.0,0.0,22419.6,2457.6000000000004,0.0,14368.170226464119,7.663024120780864,3287.671232876712,31.735864193604968,210.82072876712328,0.0,0.0,42783.26107642234,5583.077960096871,0.5,0.2
离网配置储能,风电3-光伏1,3,1,43.7076285117034,780.8399999999999,124.93561974802817,16.000156209726473,0.0,100.0,83.99984379027353,43.889272000249406,75.41883624900935,59.654054124629376,60.70503959958805,1.15424349,3.425944952384775,2.774298552706773,0.0,0.0,40710.00000000001,61132.8,21066.850560119714,54301.56209928673,43.7076285117034,3287.671232876712,27.74298552706773,210.82072876712328,0.0,0.0,180781.15523508907,4136.146512425906,0.5,0.2
离网配置储能,风电3-光伏2,3,2,34.208735800213034,522.28,3.057078255,0.585333203454086,0.0,100.0,99.41466679654592,22.76965007501912,69.16180566407972,45.965727869549404,47.512133055851436,1.15424349,0.6693217449999986,0.5417554477809483,0.0,0.0,40710.00000000001,30105.6,10929.432036009177,49796.5000781374,34.208735800213034,3287.671232876712,5.4175544778094835,210.82072876712328,0.0,0.0,135079.6503660684,3948.688754678482,0.5,0.2
