运行模式,场景,风电场景,光伏场景,日氨产量(t/day),新能源发电量(MWh),弃电量(MWh),弃电率(%),常规负荷需求量(MWh),常规负荷失供量(MWh),常规负荷供电保障率(%),园区终端用电量(MWh),本地电力自给率(%),新能源利用率(%),碱性电解槽利用率(%),PEM电解槽利用率(%),制氢装置平均利用率(%),合成氨装置利用率(%),储能容量(MWh),充电量(MWh),放电量(MWh),购电量(MWh),售电量(MWh),风电发电成本(¥/day),光伏发电成本(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),储能运维成本(¥/day),储能资本分摊(¥/day),购电成本(¥/day),售电收入(¥/day),日净成本(¥/day),净吨氨成本(¥/t),C-rate,日自损耗率(%),是否最优容量
离网配置储能,风电4-光伏1,4,1,46.837207506503155,876.924,177.2918,20.21746468337051,60.72,0.0,100.0,699.6322,100.0,79.78253531662949,50.0475040257649,78.18032852564099,65.05167709236548,65.0516770923655,0.0,0.0,0.0,0.0,0.0,55122.6,61132.8,24022.801932367154,56289.83653846152,46.837207506503155,3287.671232876712,0.0,0.0,0.0,0.0,199902.5469112119,4268.028722324153,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,46.837207506503155,876.924,177.2918,20.21746468337051,60.72,0.0,100.0,699.6322,100.0,79.78253531662949,50.0475040257649,78.18032852564099,65.05167709236548,65.0516770923655,0.0,0.0,0.0,0.0,0.0,55122.6,61132.8,24022.801932367154,56289.83653846152,46.837207506503155,3287.671232876712,0.0,0.0,0.0,0.0,199902.5469112119,4268.028722324153,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,46.8571775389376,876.924,176.88334698357232,20.170886756842364,60.72,0.0,100.0,699.8918269345365,100.0,79.82911324315764,50.047531547246386,78.23230973714271,65.07941324852443,65.07941324852443,0.2308487,0.7823335699740703,0.6335074880829785,0.0,0.0,55122.6,61132.8,24022.815142678264,56327.263010742754,46.8571775389376,3287.671232876712,6.335074880829785,42.164146118721455,0.0,0.0,199988.50578483622,4268.044220517739,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,46.87714990568803,876.924,176.4748938075466,20.12430881211446,60.72,0.0,100.0,700.151453794801,100.0,79.87569118788554,50.04750836809473,78.28434139064633,65.10715264678892,65.10715264678893,0.46169739,1.5646680395042636,1.2670156418520517,0.0,0.0,55122.6,61132.8,24022.80401668547,56364.72580126536,46.87714990568803,3287.671232876712,12.670156418520516,84.3282904109589,0.0,0.0,200074.4766475627,4268.05974872815,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,46.87714990655316,876.924,176.47489378985293,20.124308810096764,60.72,0.0,100.0,700.1514538060477,100.0,79.87569118990324,50.047508368094675,78.28434139289932,65.10715264799049,65.1071526479905,0.4616974,1.5646680733942064,1.2670156692949934,0.0,0.0,55122.6,61132.8,24022.804016685444,56364.725802887515,46.87714990655316,3287.671232876712,12.670156692949934,84.32829223744291,0.0,0.0,200074.47665128662,4268.059748728822,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,46.88114416569303,876.924,176.3932031688022,20.11499322276528,60.72,0.0,100.0,700.2033791748661,100.0,79.88500677723472,50.0475083680947,78.29474310940938,65.11270023012919,65.1127002301292,0.50786713,1.7211349401911047,1.393717283859485,0.0,0.0,55122.6,61132.8,24022.804016685455,56372.21503877475,46.88114416569303,3287.671232876712,13.937172838594849,92.7611196347032,0.0,0.0,200091.66972497592,4268.062848845746,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,46.88513842569803,876.924,176.31151253005777,20.105677633416096,60.72,0.0,100.0,700.2553045549311,100.0,79.8943223665839,50.04750836809466,78.30514482817243,65.11824781346948,65.1182478134695,0.55403687,1.877601840877945,1.520418925866907,0.0,0.0,55122.6,61132.8,24022.804016685437,56379.70427628415,46.88513842569803,3287.671232876712,15.20418925866907,101.19394885844748,0.0,0.0,200108.86280238908,4268.065948435127,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,46.889132685703025,876.924,176.22982189131483,20.09636204406708,60.72,0.0,100.0,700.307229934996,100.0,79.90363795593292,50.04750836809477,78.31554654693534,65.12379539680974,65.12379539680975,0.60020661,2.034068741557004,1.64712056786803,0.0,0.0,55122.6,61132.8,24022.804016685488,56387.19351379344,46.889132685703025,3287.671232876712,16.4712056786803,109.62677808219178,0.0,0.0,200126.0558798022,4268.069047496429,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,46.889132685703025,876.924,176.22982189131483,20.09636204406708,60.72,0.0,100.0,700.307229934996,100.0,79.90363795593292,50.04750836809477,78.31554654693534,65.12379539680974,65.12379539680975,0.60020661,2.034068741557004,1.64712056786803,0.0,0.0,55122.6,61132.8,24022.804016685488,56387.19351379344,46.889132685703025,3287.671232876712,16.4712056786803,109.62677808219178,0.0,0.0,200126.0558798022,4268.069047496429,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,46.88993153787705,876.924,176.2134837600275,20.09449892579374,60.72,0.0,100.0,700.3176150132583,100.0,79.90550107420627,50.04750836809488,78.31762689113843,65.1249049137181,65.12490491371813,0.60944056,2.0653621284709835,1.6724609017569891,0.0,0.0,55122.6,61132.8,24022.804016685543,56388.69136161967,46.88993153787705,3287.671232876712,16.72460901756989,111.31334429223746,0.0,0.0,200129.49449602963,4268.069667245467,0.5,0.2,False
