运行模式,场景,风电场景,光伏场景,时段序号(h),时段,常规负荷功率(MW),风电功率(MW),光伏功率(MW),碱性电解槽功率(MW),PEM电解槽功率(MW),合成氨装置功率(MW),常规负荷失供功率(MW),弃电功率(MW),储能充电功率(MW),储能放电功率(MW),储能电量(MWh),储能SOC(%),购电功率(MW),售电功率(MW)
离网配置储能,风电1-光伏1,1,1,1,0:00-1:00,1.3698000000000001,9.776,0.0,0.0,8.385651557692315,0.33542606230769234,0.0,0.0,0.0,0.31487762,0.21686841681193814,34.43693724754686,0.0,0.0
离网配置储能,风电1-光伏1,1,1,2,1:00-2:00,1.0997999999999999,10.904,0.0,0.0,9.560253536915676,0.3824101414766277,0.0,0.0,0.0,0.13846367839232274,0.0630017955548476,10.004171708813029,0.0,0.0
离网配置储能,风电1-光伏1,1,1,3,2:00-3:00,0.7998000000000001,15.152000000000001,0.0,0.0,13.800192307692289,0.5520076923076923,0.0,0.0,0.0,0.0,0.06299654036724614,10.003337227848416,0.0,0.0
离网配置储能,风电1-光伏1,1,1,4,3:00-4:00,0.99,13.312,0.0,0.0,11.848076923076908,0.47392307692307684,0.0,0.0,0.0,0.0,0.0629912856179972,10.00250281649061,0.0,0.0
离网配置储能,风电1-光伏1,1,1,5,4:00-5:00,1.1802000000000001,15.072000000000001,0.0,0.0,13.357499999999977,0.5342999999999999,0.0,0.0,0.0,0.0,0.06298603130706426,10.001668474733812,0.0,0.0
离网配置储能,风电1-光伏1,1,1,6,5:00-6:00,1.6301999999999999,18.724,0.0,0.0,16.43634615384613,0.6574538461538462,0.0,0.0,0.0,0.0,0.0629807774344107,10.000834202572209,0.0,0.0
离网配置储能,风电1-光伏1,1,1,7,6:00-7:00,2.5002,9.628,14.08,2.0000000000000244,18.401730769230745,0.8060692307692306,0.0,0.0,0.0,0.0,0.062975524,10.0,0.0,0.0
离网配置储能,风电1-光伏1,1,1,8,7:00-8:00,3.3701999999999996,22.804000000000002,25.6,20.0,20.0,1.5,0.0,3.2189223800000066,0.31487762,0.0,0.34636012900379565,54.99916586701138,0.0,0.0
离网配置储能,风电1-光伏1,1,1,9,8:00-9:00,4.0098,17.852,37.12,20.0,20.0,1.5,0.0,9.217257246625374,0.24494275337462193,0.0,0.5667797160000001,90.0,0.0,0.0
离网配置储能,风电1-光伏1,1,1,10,9:00-10:00,4.199999999999999,14.328000000000001,46.08,20.0,20.0,1.5,0.0,15.022877009150228,0.0,0.31487700915023015,0.21686909553390465,34.43704502306398,0.0,0.0
离网配置储能,风电1-光伏1,1,1,11,10:00-11:00,4.1202,11.904,52.48,20.0,20.0,1.5,0.0,18.448922380000003,0.31487762,0.0,0.5002408637672185,79.43417251553453,0.0,0.0
离网配置储能,风电1-光伏1,1,1,12,11:00-12:00,3.9000000000000004,7.736,55.04,20.0,20.0,1.5,0.0,17.69087762,0.0,0.31487762,0.15033511480433143,23.871991093608276,0.0,0.0
离网配置储能,风电1-光伏1,1,1,13,12:00-13:00,3.2598000000000003,8.556000000000001,56.32,20.0,20.0,1.5,0.0,19.80132238000001,0.3148776199999973,0.0,0.4337124328564653,68.86999985207989,0.0,0.0
离网配置储能,风电1-光伏1,1,1,14,13:00-14:00,2.6898,14.52,56.32,20.0,20.0,1.5,0.0,26.96507762,0.0,0.31487762,0.0838122332494581,13.30869962264357,0.0,0.0
离网配置储能,风电1-光伏1,1,1,15,14:00-15:00,3.63,6.707999999999999,52.48,20.0,20.0,1.5,0.0,13.743122379999992,0.31487762,0.0,0.36719510019459783,58.307589500104484,0.0,0.0
离网配置储能,风电1-光伏1,1,1,16,15:00-16:00,3.8202000000000003,11.175999999999998,44.8,20.0,20.0,1.5,0.0,10.43400528359996,0.22179471640003945,0.0,0.5667797160000001,90.0,0.0,0.0
离网配置储能,风电1-光伏1,1,1,17,16:00-17:00,3.75,10.107999999999999,33.28,18.201062775916796,20.000000000000043,1.4370371971570894,0.0,0.0,0.0,9.997307392950461e-05,0.5666213578409054,89.9748540148559,0.0,0.0
离网配置储能,风电1-光伏1,1,1,18,17:00-18:00,3.1398,6.3839999999999995,24.32,6.535458937198058,20.00000000000001,1.0287410628019324,0.0,0.0,0.0,0.0,0.5665740940842442,89.96734891546821,0.0,0.0
离网配置储能,风电1-光伏1,1,1,19,18:00-19:00,2.61,6.428000000000001,11.52,0.0,14.910930554310617,0.5964372221724246,0.0,0.0,0.0,0.1693677764830368,0.3783404159555215,60.077374815574615,0.0,0.0
离网配置储能,风电1-光伏1,1,1,20,19:00-20:00,2.1198,5.736,0.0,0.0,3.749999999999999,0.15,0.0,0.0,0.0,0.2838000000000004,0.062975524,10.0,0.0,0.0
离网配置储能,风电1-光伏1,1,1,21,20:00-21:00,1.8599999999999999,3.752,0.0,0.0,0.0,0.0,0.0,1.5771223799999998,0.31487762,0.0,0.34636012900379565,54.99916586701138,0.0,0.0
