场景,风电场景,光伏场景,日氨产量(t/day)_离网,日净成本(¥/day)_离网,净吨氨成本(¥/t)_离网,日氨产量(t/day)_并网,日净成本(¥/day)_并网,净吨氨成本(¥/t)_并网,购电量(MWh),售电量(MWh),产量匹配残差(t/day),电网日支撑价值(¥/day),单位产量电网支撑价值(¥/t)
风电1-光伏1,1,1,40.907611064139225,172687.3193572311,4221.398289097691,40.907611064139225,109333.08076399865,2672.683100281139,233.2102,382.45525616619005,0.0,63354.23859323247,1548.7151888165524
风电1-光伏2,1,2,31.78869041493948,127626.26364137045,4014.8323814368564,31.78869041493948,113610.24815277636,3573.9203682132134,247.29019999999997,256.52122460578676,0.0,14016.015488594086,440.9120132236429
风电1-光伏3,1,3,20.5826203578996,89931.4749620209,4369.291829623882,20.582620357899604,80955.52752043249,3933.1983057911175,216.71274386322983,209.108,3.552713678800501e-15,8975.947441588418,436.09352383276376
风电1-光伏4,1,4,15.427871220983052,72661.21255549675,4709.736781875136,15.42787122098305,63812.72299076435,4136.1975399415,168.128,167.14967412722032,-1.7763568394002505e-15,8848.489564732401,573.5392419336374
风电2-光伏1,2,1,36.99185863718898,150549.6624623119,4069.8053033474775,36.99185863718898,105161.98916316117,2842.841453157987,263.2564,360.5462377165442,0.0,45387.673299150745,1226.9638501894904
风电2-光伏2,2,2,25.007979849718964,100432.61021981742,4016.0225185460577,25.00797984971898,89989.81523866365,3598.444007850354,277.33639999999997,271.85666195365394,1.4210854715202004e-14,10442.79498115377,417.57851069570194
风电2-光伏3,2,3,13.001190552060102,60434.61003937022,4648.390452964637,13.001190552060102,54337.178734961315,4179.400226262457,149.89657459117436,145.81439999999998,0.0,6097.431304408907,468.9902267021799
风电2-光伏4,2,4,7.3264275087102835,42042.973165130956,5738.536703618056,7.3264275087102835,34146.50020492561,4660.72996208989,76.83809245021634,89.16420000000002,0.0,7896.4729602053485,1077.8067415281657
风电3-光伏1,3,1,43.67859182759216,180619.2413029002,4135.189202432149,43.67859182759214,124147.89947285151,2842.305447091502,223.3262,355.62450624130213,-1.4210854715202004e-14,56471.34183004868,1292.883755340648
风电3-光伏2,3,2,34.19240860433035,134951.10107005556,3946.8147047401762,34.19240860433035,125931.83142509413,3683.0348187037425,237.40619999999998,234.46488814370545,0.0,9019.26964496143,263.77988603643354
风电3-光伏3,3,3,22.73460439889506,96914.71222333169,4262.872162756521,22.73460439889506,91272.92981138323,4014.7137909212643,218.69642218366263,201.20620000000002,0.0,5641.782411948458,248.15837183525647
风电3-光伏4,3,4,17.781527486161632,79928.44058504379,4495.026686950692,17.78152748616163,75298.57797853524,4234.651833884121,179.81372783110405,165.204,-3.552713678800501e-15,4629.8626065085555,260.3748530665725
风电4-光伏1,4,1,47.14789897430809,200615.15863337964,4255.017996511344,47.147898974308085,127593.39203116062,2706.2370711511244,188.95420000000001,367.7730838469063,-7.105427357601002e-15,73021.76660221902,1548.7809253602193
风电4-光伏2,4,2,40.704863795674264,160201.87380399968,3935.6936460508305,40.704863795674264,149465.59838257055,3671.9346153039914,203.03419999999997,211.51497065623457,0.0,10736.275421429134,263.75903074683885
风电4-光伏3,4,3,29.894268622543123,124028.36839788755,4148.901248059247,29.894268622543123,118825.2149307352,3974.849374342267,203.03419999999997,186.29270790693943,0.0,5203.153467152355,174.05187371698005
风电4-光伏4,4,4,25.081493805003667,107761.34243456309,4296.448340451919,25.081493805003667,102823.38652690507,4099.57187264469,203.03419999999997,184.21878053495237,0.0,4937.955907658019,196.87646780722903
风电5-光伏1,5,1,44.198004484974135,187478.17857740243,4241.779255919548,44.19800448497413,119257.10218002039,2698.246302512682,212.75020000000015,376.8761416953368,-7.105427357601002e-15,68221.07639738204,1543.5329534068662
风电5-光伏2,5,2,36.48547235943319,144349.01610733033,3956.3422582360895,36.48547235943319,133081.81933936078,3647.529022738634,226.83019999999996,232.65905932736854,0.0,11267.196767969552,308.8132354974557
风电5-光伏3,5,3,25.60658637784679,107778.49184743827,4209.014440936237,25.60658637784679,101977.83007616518,3982.484372239089,226.83019999999996,208.32457708799177,0.0,5800.661771273095,226.5300686971483
风电5-光伏4,5,4,20.74921979385394,91282.83135427455,4399.338011799034,20.74921979385394,86352.74097853525,4161.734360928285,197.0700355234118,180.01800000000003,0.0,4930.090375739295,237.60365087074848
风电6-光伏1,6,1,41.544304438225765,167285.02563345677,4026.6656981151523,41.54430443822576,123785.56467265992,2979.603735013128,243.18619999999999,338.15024230306506,-7.105427357601002e-15,43499.460960796845,1047.0619631020252
风电6-光伏2,6,2,29.774500348356224,117960.41886026962,3961.7933963678397,29.774500348356224,110066.67964776258,3696.6759596299685,257.2661999999999,246.6776954713691,0.0,7893.739212507047,265.11743673787095
风电6-光伏3,6,3,17.747681314279667,77859.7451665932,4387.037595944872,17.74768131427966,72788.20166144309,4101.279506460272,192.03768800399214,177.48840000000013,-7.105427357601002e-15,5071.543505150112,285.7580894846011
风电6-光伏4,6,4,11.780388948331904,58917.937505748894,5001.357575217552,11.780388948331904,50557.870163237065,4291.697870501638,128.90529373605014,132.2324,0.0,8360.06734251183,709.6597047159134
