运行模式,场景,风电场景,光伏场景,日氨产量(t/day),新能源发电量(MWh),弃电量(MWh),弃电率(%),常规负荷失供量(MWh),能源自治率(%),新能源利用率(%),碱性电解槽利用率(%),PEM电解槽利用率(%),制氢装置平均利用率(%),合成氨装置利用率(%),储能容量(MWh),充电量(MWh),放电量(MWh),购电量(MWh),售电量(MWh),风电发电成本(¥/day),光伏发电成本(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),储能运维成本(¥/day),储能资本分摊(¥/day),购电成本(¥/day),售电收入(¥/day),日净成本(¥/day),净吨氨成本(¥/t)
离网无储能,风电1-光伏1,1,1,40.55970360460795,761.7639999999999,147.92579999999998,19.418848882331012,0.0,100.0,80.581151117669,43.0700885668277,67.93790064102565,55.50399460392667,56.33292167306659,0.0,0.0,0.0,0.0,0.0,37848.6,61132.8,20673.642512077295,48915.28846153846,40.55970360460795,3287.671232876712,0.0,0.0,0.0,0.0,171898.56191009708,4238.161195304392
离网无储能,风电1-光伏2,1,2,31.45604756596061,503.204,20.052,3.9848649851749984,0.0,100.0,96.015135014825,22.50563607085346,62.224358974358985,42.364997522606224,43.68895495272307,0.0,0.0,0.0,0.0,0.0,37848.6,30105.6,10802.70531400966,44801.53846153847,31.45604756596061,3287.671232876712,0.0,0.0,0.0,0.0,126877.5710559908,4033.487385531813
离网无储能,风电1-光伏3,1,3,20.269617391304347,337.44399999999996,12.601799999999999,3.734486314766302,0.0,100.0,96.2655136852337,1.0286231884058001,51.885416666666664,26.457019927536233,28.152246376811593,0.0,0.0,0.0,0.0,0.0,37848.6,10214.400000000001,493.7391304347841,37357.5,20.269617391304347,3287.671232876712,0.0,0.0,0.0,0.0,89222.1799807028,4401.769320963062
离网无储能,风电1-光伏4,1,4,14.801538461538462,272.804,19.664,7.208105452999224,0.0,100.0,92.79189454700078,0.0,38.54567307692308,19.27283653846154,20.557692307692307,0.0,0.0,0.0,0.0,0.0,37848.6,2457.6000000000004,0.0,27752.884615384617,14.801538461538462,3287.671232876712,0.0,0.0,0.0,0.0,71361.55738672287,4821.225683543276
离网无储能,风电2-光伏1,2,1,36.923402601263476,658.904,95.05199999999999,14.425773709068391,0.13819999999999988,99.77239789196311,85.5742262909316,38.776610305958144,62.225160256410255,50.50088528118419,51.28250361286594,0.0,0.0,0.0,0.0,0.0,22419.6,61132.8,18612.77294685991,44802.11538461538,36.923402601263476,3287.671232876712,0.0,0.0,0.0,0.0,150291.88296695327,4070.3692611961624
离网无储能,风电2-光伏2,2,2,24.97311237458194,400.34400000000005,5.44,1.358831404991707,0.13819999999999988,99.77239789196311,98.64116859500828,16.11956521739129,50.92952724358976,33.52454623049052,34.684878298030476,0.0,0.0,0.0,0.0,0.0,22419.6,30105.6,7737.391304347819,36669.25961538463,24.97311237458194,3287.671232876712,0.0,0.0,0.0,0.0,100244.49526498375,4014.096992051912
离网无储能,风电2-光伏3,2,3,12.966323076923075,234.584,5.44,2.318998738191863,0.13819999999999988,99.77239789196311,97.68100126180815,0.0,33.76646634615385,16.883233173076924,18.008782051282047,0.0,0.0,0.0,0.0,0.0,22419.6,10214.400000000001,0.0,24311.85576923077,12.966323076923075,3287.671232876712,0.0,0.0,0.0,0.0,60246.4933251844,4646.382244817624
离网无储能,风电2-光伏4,2,4,6.952307692307691,169.94400000000002,18.982200000000002,11.169679423810196,0.13819999999999988,99.77239789196311,88.8303205761898,0.0,18.10496794871795,9.052483974358974,9.655982905982905,0.0,0.0,0.0,0.0,0.0,22419.6,2457.6000000000004,0.0,13035.576923076924,6.952307692307691,3287.671232876712,0.0,0.0,0.0,0.0,41207.400463645936,5927.154304352703
离网无储能,风电3-光伏1,3,1,43.63029639539205,780.8399999999999,126.36819999999997,16.18362276522719,0.0,100.0,83.81637723477282,44.26324476650562,74.89022435897436,59.57673456274001,60.597633882488964,0.0,0.0,0.0,0.0,0.0,40710.00000000001,61132.8,21246.357487922698,53920.961538461546,43.63029639539205,3287.671232876712,0.0,0.0,0.0,0.0,180341.42055565637,4133.398932735714
离网无储能,风电3-光伏2,3,2,34.167062504645116,522.28,3.7264000000000053,0.7134870184575335,0.0,100.0,99.28651298154246,22.769645732689217,69.05328525641025,45.91146549454973,47.45425347867378,0.0,0.0,0.0,0.0,0.0,40710.00000000001,30105.6,10929.429951690823,49718.365384615376,34.167062504645116,3287.671232876712,0.0,0.0,0.0,0.0,134785.23363168756,3944.8879637622667
离网无储能,风电3-光伏3,3,3,22.734615384615385,356.52000000000004,0.0,0.0,0.0,100.0,100.0,0.41666666666667257,58.84014423076922,29.62840544871795,31.575854700854702,0.0,0.0,0.0,0.0,0.0,40710.00000000001,10214.400000000001,200.00000000000284,42364.90384615384,22.734615384615385,3287.671232876712,0.0,0.0,0.0,0.0,96799.70969441517,4257.811625875139
离网无储能,风电3-光伏4,3,4,17.781538461538464,291.88,0.0,0.0,0.0,100.0,100.0,0.0,46.306089743589745,23.153044871794872,24.6965811965812,0.0,0.0,0.0,0.0,0.0,40710.00000000001,2457.6000000000004,0.0,33340.38461538462,17.781538461538464,3287.671232876712,0.0,0.0,0.0,0.0,79813.43738672289,4488.556350698206
离网无储能,风电4-光伏1,4,1,46.837207506503155,876.924,177.2918,20.21746468337051,0.0,100.0,79.78253531662949,50.0475040257649,78.18032852564102,64.11391627570296,65.0516770923655,0.0,0.0,0.0,0.0,0.0,55122.6,61132.8,24022.801932367154,56289.83653846153,46.837207506503155,3287.671232876712,0.0,0.0,0.0,0.0,199902.5469112119,4268.028722324153
