运行模式,场景,风电场景,光伏场景,时段序号(h),时段,常规负荷功率(MW),风电功率(MW),光伏功率(MW),碱性电解槽功率(MW),PEM电解槽功率(MW),合成氨装置功率(MW),常规负荷失供功率(MW),弃电功率(MW),储能充电功率(MW),储能放电功率(MW),储能电量(MWh),储能SOC(%),购电功率(MW),售电功率(MW)
离网无储能,风电1-光伏1,1,1,1,0:00-1:00,1.3698000000000001,9.776,0.0,0.0,8.082884615384616,0.32331538461538456,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,2,1:00-2:00,1.0997999999999999,10.904,0.0,0.0,9.427115384615384,0.37708461538461535,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,3,2:00-3:00,0.7998000000000001,15.152000000000001,0.0,0.0,13.80019230769231,0.5520076923076923,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,4,3:00-4:00,0.99,13.312,0.0,0.0,11.848076923076922,0.4739230769230769,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,5,4:00-5:00,1.1802000000000001,15.072000000000001,0.0,0.0,13.3575,0.5343,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,6,5:00-6:00,1.6301999999999999,18.724,0.0,0.0,16.436346153846156,0.6574538461538463,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,7,6:00-7:00,2.5002,9.628,14.08,2.0,18.401730769230767,0.8060692307692306,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,8,7:00-8:00,3.3701999999999996,22.804000000000002,25.6,20.0,20.0,1.5,0.0,3.5338000000000065,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,9,8:00-9:00,4.0098,17.852,37.12,20.0,20.0,1.5,0.0,9.462199999999996,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,10,9:00-10:00,4.199999999999999,14.328000000000001,46.08,20.0,20.0,1.5,0.0,14.707999999999998,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,11,10:00-11:00,4.1202,11.904,52.48,20.0,20.0,1.5,0.0,18.763800000000003,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,12,11:00-12:00,3.9000000000000004,7.736,55.04,20.0,20.0,1.5,0.0,17.375999999999998,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,13,12:00-13:00,3.2598000000000003,8.556000000000001,56.32,20.0,20.0,1.5,0.0,20.116200000000006,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,14,13:00-14:00,2.6898,14.52,56.32,20.0,20.0,1.5,0.0,26.650199999999998,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,15,14:00-15:00,3.63,6.707999999999999,52.48,20.0,20.0,1.5,0.0,14.057999999999993,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,16,15:00-16:00,3.8202000000000003,11.175999999999998,44.8,20.0,20.0,1.5,0.0,10.6558,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,17,16:00-17:00,3.75,10.107999999999999,33.28,18.200966183574906,19.99999999999997,1.4370338164251206,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,18,17:00-18:00,3.1398,6.3839999999999995,24.32,6.535458937198058,20.00000000000001,1.0287410628019324,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,19,18:00-19:00,2.61,6.428000000000001,11.52,0.0,14.748076923076924,0.5899230769230769,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,20,19:00-20:00,2.1198,5.736,0.0,0.0,0.0,0.0,0.0,3.6161999999999996,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,21,20:00-21:00,1.8599999999999999,3.752,0.0,0.0,0.0,0.0,0.0,1.892,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,22,21:00-22:00,1.6301999999999999,3.6919999999999997,0.0,0.0,0.0,0.0,0.0,2.0618,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,23,22:00-23:00,1.56,4.88,0.0,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏1,1,1,24,23:00-24:00,1.4802,3.1919999999999997,0.0,0.0,0.0,0.0,0.0,1.7117999999999998,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,1,0:00-1:00,1.3698000000000001,9.776,0.0,0.0,8.082884615384616,0.32331538461538456,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,2,1:00-2:00,1.0997999999999999,10.904,0.0,0.0,9.427115384615384,0.37708461538461535,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,3,2:00-3:00,0.7998000000000001,15.152000000000001,0.0,0.0,13.80019230769231,0.5520076923076923,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,4,3:00-4:00,0.99,13.312,0.0,0.0,11.848076923076922,0.4739230769230769,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,5,4:00-5:00,1.1802000000000001,15.072000000000001,0.0,0.0,13.3575,0.5343,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,6,5:00-6:00,1.6301999999999999,18.724,0.0,0.0,16.436346153846156,0.6574538461538463,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,7,6:00-7:00,2.5002,9.628,0.0,0.0,6.853653846153847,0.2741461538461538,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,8,7:00-8:00,3.3701999999999996,22.804000000000002,3.2,2.0,19.772884615384616,0.8609153846153846,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,9,8:00-9:00,4.0098,17.852,10.88,3.7895652173913277,19.99999999999998,0.9326347826086956,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,10,9:00-10:00,4.199999999999999,14.328000000000001,17.92,7.0028985507246375,20.000000000000007,1.0451014492753625,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,11,10:00-11:00,4.1202,11.904,24.96,11.539903381642489,20.00000000000003,1.2038966183574882,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,12,11:00-12:00,3.9000000000000004,7.736,31.36,13.90917874396132,20.00000000000003,1.2868212560386474,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,13,12:00-13:00,3.2598000000000003,8.556000000000001,35.84,19.64850241545895,19.999999999999993,1.487697584541063,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,14,13:00-14:00,2.6898,14.52,37.12,20.0,20.0,1.5,0.0,7.450200000000002,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,15,14:00-15:00,3.63,6.707999999999999,32.0,13.79516908212554,20.000000000000057,1.2828309178743962,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,16,15:00-16:00,3.8202000000000003,11.175999999999998,25.6,11.74473429951695,19.999999999999957,1.2110657004830916,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,17,16:00-17:00,3.75,10.107999999999999,19.2,4.597101449275385,19.99999999999998,0.9608985507246376,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,18,17:00-18:00,3.1398,6.3839999999999995,9.6,0.0,12.350192307692305,0.4940076923076922,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,19,18:00-19:00,2.61,6.428000000000001,3.2,0.0,6.7480769230769235,0.26992307692307693,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,20,19:00-20:00,2.1198,5.736,0.0,0.0,0.0,0.0,0.0,3.6161999999999996,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,21,20:00-21:00,1.8599999999999999,3.752,0.0,0.0,0.0,0.0,0.0,1.892,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,22,21:00-22:00,1.6301999999999999,3.6919999999999997,0.0,0.0,0.0,0.0,0.0,2.0618,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,23,22:00-23:00,1.56,4.88,0.0,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏2,1,2,24,23:00-24:00,1.4802,3.1919999999999997,0.0,0.0,0.0,0.0,0.0,1.7117999999999998,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏3,1,3,1,0:00-1:00,1.3698000000000001,9.776,0.0,0.0,8.082884615384616,0.32331538461538456,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏3,1,3,2,1:00-2:00,1.0997999999999999,10.904,0.0,0.0,9.427115384615384,0.37708461538461535,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏3,1,3,3,2:00-3:00,0.7998000000000001,15.152000000000001,0.0,0.0,13.80019230769231,0.5520076923076923,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏3,1,3,4,3:00-4:00,0.99,13.312,0.0,0.0,11.848076923076922,0.4739230769230769,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏3,1,3,5,4:00-5:00,1.1802000000000001,15.072000000000001,0.0,0.0,13.3575,0.5343,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
离网无储能,风电1-光伏3,1,3,6,5:00-6:00,1.6301999999999999,18.724,0.0,0.0,16.436346153846156,0.6574538461538463,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
