运行模式,场景,最大功率平衡残差(MW),最大氢氨物料平衡残差(kg/h),最大半连续边界违反(MW),最大同时充放电功率(MW),最大SOC及倍率边界违反(MWh),最大储能动态残差(MWh)
离网无储能,风电1-光伏1,1.5543122344752192e-15,2.842170943040401e-14,1.0658141036401503e-14,0.0,0.0,0.0
离网配置储能,风电1-光伏1,2.4646951146678475e-14,3.979039320256561e-13,4.263256414560601e-14,0.0,0.0,7.605027718682322e-15
并网同产量,风电1-光伏1,4.618527782440651e-14,6.252776074688882e-13,6.394884621840902e-14,0.0,0.0,0.0
离网无储能,风电1-光伏2,3.1086244689504383e-15,2.842170943040401e-14,5.684341886080802e-14,0.0,0.0,0.0
离网配置储能,风电1-光伏2,2.4646951146678475e-14,3.979039320256561e-13,3.907985046680551e-14,0.0,0.0,2.220446049250313e-16
并网同产量,风电1-光伏2,3.375077994860476e-14,4.547473508864641e-13,6.394884621840902e-14,0.0,0.0,0.0
离网无储能,风电1-光伏3,1.5543122344752192e-15,2.842170943040401e-14,0.0,0.0,0.0,0.0
离网配置储能,风电1-光伏3,5.129230373768223e-14,7.389644451905042e-13,0.0,0.0,0.0,2.220446049250313e-16
并网同产量,风电1-光伏3,7.549516567451064e-15,0.0,7.815970093361102e-14,0.0,0.0,0.0
离网无储能,风电1-光伏4,1.1102230246251565e-15,5.684341886080802e-14,0.0,0.0,0.0,0.0
离网配置储能,风电1-光伏4,2.609024107869118e-15,4.547473508864641e-13,0.0,0.0,0.0,2.220446049250313e-16
并网同产量,风电1-光伏4,2.1316282072803006e-14,1.1368683772161603e-13,7.105427357601002e-14,0.0,0.0,0.0
离网无储能,风电2-光伏1,1.7763568394002505e-15,2.842170943040401e-14,3.552713678800501e-15,0.0,0.0,0.0
离网配置储能,风电2-光伏1,1.9539925233402755e-14,2.8421709430404007e-13,3.907985046680551e-14,0.0,5.551115123125783e-17,3.774758283725532e-15
并网同产量,风电2-光伏1,1.0632605906835124e-12,2.2737367544323206e-13,4.973799150320701e-14,0.0,0.0,0.0
离网无储能,风电2-光伏2,3.1086244689504383e-15,2.842170943040401e-14,4.263256414560601e-14,0.0,0.0,0.0
离网配置储能,风电2-光伏2,3.963496197911809e-14,5.684341886080801e-13,1.4210854715202004e-14,0.0,0.0,5.551115123125783e-17
并网同产量,风电2-光伏2,3.6770586575585185e-13,1.2789769243681803e-13,4.973799150320701e-14,0.0,0.0,0.0
离网无储能,风电2-光伏3,7.216449660063518e-16,2.842170943040401e-14,0.0,0.0,0.0,0.0
离网配置储能,风电2-光伏3,6.661338147750939e-16,2.842170943040401e-14,0.0,0.0,0.0,5.551115123125783e-17
并网同产量,风电2-光伏3,1.8207657603852567e-14,2.2737367544323206e-13,3.907985046680551e-14,0.0,0.0,0.0
离网无储能,风电2-光伏4,7.216449660063518e-16,2.842170943040401e-14,0.0,0.0,0.0,0.0
